GCCSA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
9OTER,3,0,4,9,12,3,6,0,0,37,43,44,161,207,231,193,81,12,0,970,0,4,3,8,6,7,3,5,0,34,0,9,23,32,32,33,27,0,0,149,0,0,9,4,17,10,0,0,0,43,0,7,3,10,13,6,6,0,0,41,5,9,12,30,44,34,7,0,0,141,0,0,3,3,0,3,0,3,0,21,18,9,18,27,44,40,27,8,0,184,19,14,41,46,51,40,19,4,4,251,6,5,25,21,19,20,7,0,0,103,0,0,0,7,3,4,0,0,0,15,0,0,4,9,3,7,0,0,0,18,0,0,0,6,8,6,0,0,0,28,0,0,10,18,8,4,8,0,0,48,3,0,15,28,25,32,13,0,0,116,6,29,93,83,114,78,25,0,0,431,3,5,27,46,29,32,13,0,0,159,4,6,7,18,24,31,17,0,0,109,3,3,11,17,9,10,9,4,0,74
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
8ACTE,144,251,526,453,388,224,89,20,17,2111,5736,10416,25887,23319,20769,12043,2393,208,31,100807,15,66,101,94,98,104,70,30,10,590,0,4,32,26,33,19,0,0,0,115,258,347,754,743,698,401,147,24,0,3377,20,95,399,409,304,177,33,3,0,1447,472,1548,3576,2687,2086,1276,329,37,4,12012,69,197,476,488,485,246,75,10,0,2042,2686,3223,3258,2026,1750,1200,397,38,7,14588,3678,3264,2977,1586,1091,627,151,11,3,13391,84,301,972,1086,1126,885,229,19,0,4708,148,342,955,941,739,392,96,5,3,3625,28,263,976,809,596,364,106,20,5,3164,76,317,687,582,488,338,146,25,0,2660,201,1601,5478,5049,3830,2330,709,70,4,19287,136,454,1387,1210,1060,743,213,27,3,5227,534,3243,16741,17804,15996,7763,1090,57,4,63236,690,1558,4393,4742,4358,3055,758,65,6,19629,511,2089,5703,4729,4356,3173,675,55,6,21297,471,589,813,624,550,379,135,13,0,3586
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,4,0,0,0,3,4,19,27,22,13,18,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,3,0,0,0,19,3,10,3,0,3,0,0,0,0,11,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,5,0,3,4,0,0,0,6,3,11,17,12,5,11,3,0,0,56,0,4,8,3,0,3,0,0,0,15,0,0,4,9,6,0,0,0,0,23,0,3,0,0,0,0,0,0,0,8
7RNTE,43,67,149,123,130,71,21,4,0,612,605,1168,3768,3213,3338,2258,469,47,3,14868,101,232,312,193,219,143,55,16,0,1270,5,53,252,286,259,131,18,0,0,1013,26,42,74,95,106,51,6,0,0,399,3,20,62,69,89,85,8,3,0,339,79,181,477,320,356,261,80,10,0,1762,14,23,70,47,64,67,12,0,0,295,273,226,486,389,381,318,78,9,0,2155,257,292,631,309,340,264,72,6,0,2178,25,79,273,203,250,183,59,5,0,1080,25,14,51,45,40,51,10,0,0,239,4,20,60,40,26,17,3,3,0,170,11,26,53,66,64,58,15,4,0,295,14,51,233,218,226,206,53,3,0,1005,37,97,219,178,220,138,42,5,0,933,68,312,1353,1245,1292,843,151,5,3,5278,75,176,920,844,870,742,146,18,0,3794,74,275,1138,1111,1065,744,164,9,0,4585,54,57,152,159,140,94,33,3,0,692
7GDAR,72,108,276,238,216,128,44,11,3,1094,1564,3031,8851,7431,6634,4053,838,55,6,32474,27,67,149,135,197,132,57,15,0,763,13,73,434,424,357,168,25,0,0,1497,110,170,497,499,449,247,52,3,0,2029,13,69,298,382,296,193,33,0,0,1285,185,631,2709,2164,1646,967,215,15,3,8541,39,133,390,325,328,183,40,0,0,1441,826,750,1230,920,829,568,143,17,3,5280,785,752,1393,780,575,308,72,8,0,4686,63,234,796,726,848,569,157,9,0,3401,41,85,225,155,147,89,20,0,0,759,9,83,314,229,191,100,17,0,0,948,25,116,334,251,237,146,67,14,3,1199,93,284,1486,1188,849,572,142,12,0,4622,49,175,545,534,488,301,69,6,0,2168,201,1571,3687,3100,2772,1636,278,8,0,13267,110,316,1188,1444,1404,1021,225,9,0,5711,132,462,2075,1599,1272,970,216,16,0,6739,136,178,400,274,248,167,38,4,0,1453
79799,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,5,0,0,3,0,0,0,11,8,34,80,39,39,46,0,0,0,252,0,11,13,4,9,9,5,0,0,51,0,0,4,5,6,0,0,0,0,14,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,7,21,17,18,3,0,0,0,63,0,0,0,0,0,0,0,0,0,6,0,7,11,9,10,7,0,0,0,40,0,11,42,9,12,13,0,0,0,86,0,0,7,3,6,7,0,0,0,25,0,0,3,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,13,7,7,0,0,0,0,29,0,0,4,5,3,11,0,0,0,26,9,18,6,11,9,14,0,0,0,60,0,3,11,4,9,0,3,0,0,33,0,3,19,8,11,10,0,0,0,47,0,0,4,8,3,0,0,0,0,12
6RTAS,112,102,245,309,357,296,125,39,11,1589,3562,4704,9517,11335,14338,10786,2096,232,41,56603,327,705,1591,1754,2101,1873,867,286,27,9527,13,82,431,489,508,351,50,3,7,1932,456,914,1684,2039,2570,1713,248,33,7,9659,10,69,274,367,449,342,41,0,0,1553,442,1001,1909,1735,2046,1567,286,19,5,9010,116,226,539,669,788,572,113,11,3,3037,1965,1679,2197,2173,2584,1804,406,51,7,12867,2018,1372,1475,1206,1298,1051,301,26,7,8758,65,271,758,1056,1596,1426,400,41,0,5615,34,91,221,193,251,227,38,6,0,1079,40,162,472,485,487,329,58,12,0,2046,42,124,226,260,360,300,93,13,0,1422,82,315,895,945,935,793,313,35,4,4319,88,255,578,726,953,715,159,29,3,3504,46,235,985,1561,1898,1430,216,9,3,6380,95,357,1525,2427,2892,2327,431,30,3,10079,220,1018,2605,2917,4506,4035,660,33,9,16000,182,185,279,296,383,343,96,15,3,1775
6GHOB,72,107,203,223,234,168,65,25,10,1112,2847,4455,10016,10643,11398,8353,1508,145,24,49382,46,151,385,400,411,315,108,29,3,1843,3,12,51,80,78,54,14,0,0,283,257,428,970,1088,1289,950,176,23,0,5173,6,72,444,557,543,307,36,0,0,1958,268,761,1847,1550,1549,1185,227,11,4,7405,79,120,372,362,450,344,63,9,0,1804,1522,1766,2167,1832,1727,1314,335,33,5,10702,1805,1612,1739,1041,871,526,147,14,0,7762,46,193,583,707,945,809,213,19,3,3500,72,183,484,399,383,277,38,3,0,1843,27,144,665,668,536,363,76,8,3,2488,11,110,235,235,277,251,106,19,3,1258,91,299,1363,1457,1358,972,307,33,3,5889,69,236,626,625,620,564,132,20,0,2884,77,377,1948,2761,3175,1954,264,8,6,10566,118,443,1818,2394,2633,2195,380,29,3,10010,180,996,2898,3067,3731,3145,569,45,12,14645,199,247,472,472,416,317,88,14,0,2235
69799,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,3,0,0,0,0,0,7,9,3,26,27,21,12,0,0,0,98,0,3,4,0,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,3,0,3,11,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,5,6,10,4,0,0,0,0,22,4,6,9,3,0,0,0,0,0,26,0,0,3,0,3,0,0,0,0,20,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,3,3,4,3,0,0,0,7,0,0,3,0,3,0,0,0,0,6,0,0,0,3,7,3,0,0,0,13,0,0,5,3,3,0,0,0,0,9,0,0,5,6,6,6,0,0,0,30,0,0,5,0,0,0,0,0,0,7
5RWAU,216,282,651,716,832,600,186,73,10,3573,5965,7637,20539,22712,25010,18168,4051,523,71,104674,553,1195,3381,3717,4638,4422,2696,776,100,21476,194,1378,7589,7194,6260,3209,390,13,7,26227,640,1053,2841,2898,2702,1846,395,42,10,12430,32,137,606,738,847,634,103,5,0,3097,824,1891,5207,4979,4814,3313,632,51,8,21719,204,409,967,1033,1123,733,192,28,3,4678,3480,2154,3583,3489,4102,2990,665,56,11,20520,2792,1671,3159,2454,2502,1826,511,59,6,14977,151,539,1700,2216,3006,2573,814,65,9,11073,115,157,273,240,254,194,43,8,3,1283,64,184,654,609,677,359,69,19,0,2633,105,319,625,686,756,572,243,32,0,3338,167,447,1608,1863,1806,1363,385,48,5,7689,208,506,1380,1539,1810,1396,343,34,3,7224,233,607,2420,3184,3616,2746,509,43,5,13374,250,831,3267,4952,5423,4022,719,55,5,19521,439,1311,4056,4763,5667,5210,1031,71,11,22551,186,208,474,513,556,498,130,26,0,2596
