RA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
RA10,1416,10037,90574,473530,402993,106842,23894,22088,1131382,843,8080,41710,43265,6989,875,219,3281,105263,542,8956,37102,81413,26663,3594,777,4014,163054,1383,17041,78812,124677,33651,4466,992,7291,268318,2522,24541,58480,17164,1917,376,266,4456,109726,2371,23956,107099,20746,938,153,131,4411,159812,5308,51533,119465,32348,1355,199,191,5136,215528,66,644,696,341,120,35,23,132,2056,10266,100680,285743,70598,4327,761,612,14136,487122,445,2989,4394,2290,747,187,89,864,12001,215,1374,2261,1574,903,262,150,1780,8518,13726,132118,461782,672671,442620,112519,25743,46159,1907344
RA11,998,6423,46664,199423,144008,27715,6153,9923,441307,167,2953,17429,9363,719,94,45,1420,32184,56,1113,4025,5176,818,78,27,336,11623,222,4061,21459,14532,1536,167,75,1747,43804,278,3953,11740,3181,325,58,62,1075,20681,18,298,1542,366,26,0,0,101,2356,9,257,1421,624,31,5,0,75,2423,4,52,36,29,11,0,3,9,144,306,4561,14742,4196,391,68,71,1262,25597,671,2310,2813,1457,534,99,52,600,8531,69,403,804,1044,542,155,118,544,3673,2261,17763,86475,220652,147014,28207,6459,14081,522910
RA12,558,3613,20624,68593,39555,7266,1796,4050,146060,72,560,2037,1070,175,43,17,216,4184,8,70,474,353,59,8,3,37,1020,72,637,2519,1426,233,47,18,251,5200,101,1389,3060,760,78,14,14,398,5810,3,31,142,63,11,0,0,15,268,3,26,42,20,8,0,0,9,110,0,15,4,4,3,6,0,3,35,106,1458,3250,849,100,17,14,421,6215,281,740,685,455,215,41,36,219,2684,34,173,320,509,280,75,89,154,1634,1057,6618,27403,71839,40380,7450,1958,5102,161806
RA13,45,306,1350,4018,2620,551,149,355,9408,0,16,47,21,3,0,0,4,96,0,3,0,0,0,0,0,0,8,0,18,50,24,3,0,0,3,97,8,141,179,20,4,0,3,15,373,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,3,16,0,0,0,0,3,0,0,0,3,10,154,179,22,5,0,3,21,392,31,66,49,49,19,5,4,38,262,9,13,48,79,42,11,13,20,228,91,555,1686,4192,2687,567,164,439,10388
RA14,4,88,268,610,474,100,43,72,1663,0,5,3,6,0,0,0,3,19,0,0,5,0,0,0,0,0,5,0,5,12,6,0,0,0,3,24,0,0,15,3,0,0,0,8,29,3,5,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,29,3,0,0,0,8,52,10,36,17,15,10,0,0,19,106,0,0,3,7,3,0,0,8,25,18,136,327,645,488,104,42,107,1865
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,1343,7207,93338,537758,353280,62335,11309,22310,1088876,412,11839,81033,55600,10821,1086,246,4753,165794,231,2949,27299,55445,15392,2090,372,2110,105887,644,14784,108334,111041,26213,3173,618,6861,271678,1114,20344,47959,16017,1648,190,161,2952,90382,838,16075,26932,3792,215,47,51,1301,49250,2467,31062,47750,8825,519,61,110,2441,93246,7,100,127,65,14,0,3,17,334,4421,67585,122767,28701,2405,301,324,6709,233216,301,1794,2138,1295,481,84,40,377,6511,79,623,1247,1327,600,119,64,717,4778,6786,91996,327828,680119,382971,66018,12358,36980,1605066
RA21,587,4716,43918,193780,103326,14737,2907,8488,372456,130,3777,12247,4682,710,67,41,1071,22730,10,207,869,1298,262,32,17,81,2778,142,3981,13116,5982,978,98,57,1156,25502,72,1954,5332,1136,96,17,22,546,9176,0,127,147,44,8,0,0,23,349,0,46,62,18,4,0,0,9,139,0,14,8,3,0,8,0,0,39,78,2135,5551,1206,114,20,27,578,9709,294,1127,843,609,229,42,30,275,3451,27,156,409,748,371,83,43,248,2083,1123,12122,63841,202325,105015,14977,3061,10740,413207
RA22,173,1504,11569,45430,20019,2780,609,2289,84380,20,474,1854,874,78,6,9,193,3509,0,17,70,82,13,5,0,7,190,20,494,1926,957,84,8,8,202,3704,24,727,1752,313,18,3,9,203,3042,7,3,3,10,0,0,0,0,24,0,6,17,11,3,0,0,3,43,0,3,0,0,0,0,0,0,12,28,739,1777,325,22,3,10,204,3116,128,369,255,176,47,13,16,109,1108,10,61,162,283,135,16,18,136,825,360,3173,15689,47167,20318,2816,665,2940,93133
RA23,9,45,230,633,265,21,6,28,1231,0,3,21,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,21,4,0,0,0,0,28,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,12,3,3,0,0,0,0,21,0,0,7,6,3,0,3,3,16,12,61,256,645,269,22,9,31,1307
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,733,4515,41281,301444,304009,65232,13809,13188,744210,283,3606,22642,17786,1179,100,64,2170,47834,209,3259,22192,52683,4587,372,116,1990,85414,497,6862,44835,70463,5768,474,179,4164,133240,883,12336,24433,8258,788,139,133,1828,48811,448,6543,31380,6297,316,41,60,1160,46248,762,12382,30371,11330,656,54,49,1443,57048,3,88,82,35,16,0,0,18,249,2098,31348,86271,25920,1776,243,249,4456,152357,682,2518,1801,720,261,73,36,457,6544,66,572,848,990,492,114,78,968,4119,4066,45820,175028,399540,312314,66132,14349,23232,1040479
RA31,706,4214,29301,133963,101454,16988,3835,6316,296773,119,2064,9384,4485,342,34,20,694,17144,59,1067,2809,2278,208,32,10,231,6690,178,3131,12189,6755,552,71,31,928,23830,80,1661,6318,1976,166,21,17,502,10736,28,106,490,160,10,0,0,20,814,7,87,630,403,33,3,3,35,1204,0,20,16,8,4,3,7,3,68,108,1873,7459,2554,208,27,27,562,12826,725,2018,807,571,278,61,26,509,4997,53,213,322,575,319,79,50,487,2098,1773,11448,50074,144411,102813,17222,3970,8804,340521
RA32,718,4088,20340,90216,63214,9949,2237,4477,195238,122,1056,5592,1787,255,18,13,424,9269,41,673,4027,1335,131,23,17,175,6413,161,1724,9617,3118,380,46,35,597,15676,217,2355,7418,1645,181,25,26,667,12539,41,624,3111,894,27,0,3,152,4846,28,278,1342,947,23,6,0,67,2691,0,18,11,7,3,3,0,4,53,284,3278,11885,3496,227,34,32,885,20126,724,1418,612,395,173,24,37,436,3815,37,198,326,368,213,46,40,345,1573,1925,10706,42783,97593,64214,10099,2374,6744,236442
RA33,161,814,2749,9358,4761,900,297,571,19610,7,213,513,166,16,7,0,34,952,0,26,92,49,6,3,0,3,179,7,240,606,216,25,5,3,34,1132,3,222,472,111,26,3,0,79,915,0,0,5,0,0,0,0,0,12,0,11,6,3,0,0,0,0,20,0,6,0,3,0,0,0,0,14,4,235,489,115,26,4,0,80,953,139,296,111,92,36,4,6,108,803,19,68,110,162,89,21,11,41,526,328,1656,4066,9949,4942,939,313,836,23030
RA34,56,500,2336,6030,3165,774,380,563,13814,7,132,333,180,74,16,8,35,777,0,25,188,63,16,6,3,27,314,7,154,518,239,87,15,10,61,1091,3,102,269,64,14,3,0,36,497,0,3,12,0,0,0,0,0,17,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,110,284,64,14,3,0,35,516,123,197,67,72,48,9,17,123,656,19,38,44,81,38,19,14,38,282,209,991,3252,6484,3350,819,420,826,16358
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
