RA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
RA10,3231,8767,8422,8345,6945,5097,2015,599,43418,6467,28916,29064,12799,5632,1550,198,43,84677,16862,60369,61633,67248,60846,43686,22042,7446,340142,10139,27510,26558,24207,17572,12058,6585,1971,126599,1676,4801,5390,4646,3392,1735,854,278,22765,3514,14572,12587,10839,9145,5285,2772,1093,59793,1405,7332,7378,7553,9900,6434,2692,792,43477,18967,74319,65179,49692,35083,20803,7054,2124,273224,8579,26371,24073,21037,17189,10779,3923,1159,113109,6415,15567,10976,6662,4403,2373,939,271,47612,4353,13117,10110,7299,4432,2973,1368,360,44015,934,583,415,397,418,425,327,118,3617,1204,3490,4028,3721,2713,1649,771,358,17943,27180,37123,30038,26475,22130,18614,13811,7979,183354,110925,322834,295857,250932,199796,133461,65355,24593,1403760,3961,11353,10301,8345,5711,2906,989,287,43851,1323,9620,9448,5376,2610,809,138,16,29335,1959,8753,6958,6430,4709,2888,2338,1135,35183,1489,4912,3781,2639,1431,532,204,53,15050,1012,2459,2415,1763,1120,487,188,43,9477,11708,43758,35608,32725,29063,15661,7395,2690,178608,7081,29268,28589,26340,27804,17228,6828,2167,145310,29809,103460
RA11,225,784,1068,1198,1511,1356,459,146,6746,736,1507,1430,1089,866,436,60,5,6134,5637,14432,15424,19052,19549,16596,8032,2256,100978,3144,6874,7119,7876,7958,5607,2839,693,42106,1040,2615,3199,3363,2898,2076,940,241,16375,554,2189,2537,2796,3064,1792,742,274,13952,266,1594,2186,2559,4509,3136,1150,290,15678,1748,4938,6078,6628,6603,5337,1958,486,33776,1186,3042,3724,4011,4029,3070,1108,259,20430,654,1213,1182,1067,1144,830,285,98,6465,1358,2904,2828,2332,1857,1461,593,168,13498,154,77,75,83,101,126,112,50,776,245,492,721,909,801,637,323,120,4252,9552,8793,8664,9591,9813,9370,6672,3149,65597,26504,51442,56220,62535,64711,51835,25285,8229,346761,306,993,1353,1267,1096,670,223,55,5953,102,352,495,627,543,311,49,6,2488,266,876,939,1025,862,705,535,314,5528,135,407,439,459,323,158,52,16,1977,776,1276,1502,1336,868,400,113,28,6292,3034,8664,9224,10790,12554,7132,3192,1060,55646,1464,6474,7593,7729,10078,6295,2430,644,42717,5007,12176
RA12,45,168,244,269,345,348,111,19,1554,136,271,210,194,213,95,18,4,1136,1911,4033,4202,5216,5801,4478,1843,459,27935,682,1540,1533,1934,2315,1562,722,152,10442,544,1243,1672,1947,1882,1286,525,116,9218,104,373,482,542,708,352,177,46,2796,61,397,517,601,1042,798,243,44,3699,347,963,1208,1435,1413,1059,309,80,6811,219,592,777,898,988,730,218,48,4462,76,183,176,185,298,214,63,13,1214,325,684,713,617,619,417,147,34,3548,42,29,16,24,41,53,47,17,271,49,121,192,252,264,182,85,25,1174,3485,2800,2930,3793,4175,3926,2652,1008,24770,8024,13402,14876,17895,20111,15505,7157,2060,99032,48,206,313,261,291,162,38,10,1339,23,90,91,149,156,70,30,7,605,76,179,215,288,252,183,149,70,1402,21,92,90,99,62,39,11,0,417,339,611,722,678,421,209,56,12,3040,725,2093,2107,3010,3736,2203,867,303,15056,422,1827,2228,2425,2848,1771,602,169,12282,1134,2920
RA13,3,14,15,17,10,12,3,0,63,4,13,4,3,0,4,0,0,30,144,333,274,258,286,147,62,16,1525,38,79,79,68,80,57,31,6,430,57,145,161,185,141,68,30,0,790,4,36,28,32,20,16,3,3,135,7,60,28,25,35,8,0,0,175,18,56,67,75,53,19,11,0,292,16,68,43,41,24,21,5,0,220,0,6,6,6,5,4,3,0,33,19,40,46,30,27,20,11,0,191,0,0,0,3,0,3,0,0,9,6,3,15,13,10,9,3,0,60,296,278,262,323,352,288,181,43,2033,610,1137,1023,1082,1049,690,340,68,5994,3,25,6,14,4,3,3,0,66,0,4,4,5,4,3,0,0,20,7,11,12,13,11,3,5,5,61,3,4,6,3,0,0,0,0,14,31,70,61,43,32,10,4,0,243,52,161,141,176,197,92,38,16,872,41,208,185,153,143,58,14,8,813,75,226
RA14,0,0,4,0,0,0,0,0,5,0,3,0,0,0,0,0,0,9,17,46,43,46,48,25,10,3,237,8,11,12,19,19,15,4,0,89,7,16,28,33,25,8,4,0,122,0,3,3,4,3,0,0,0,18,0,9,9,6,12,3,0,0,36,3,17,13,12,10,12,0,0,67,3,10,15,10,9,8,3,0,60,0,3,0,0,3,3,0,0,13,0,11,10,0,8,3,0,0,40,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,8,89,112,82,98,88,63,28,0,561,134,248,210,241,232,141,50,6,1275,0,3,0,0,0,3,0,0,6,0,0,3,0,3,0,0,0,4,0,0,5,3,3,0,0,0,8,0,0,0,0,0,0,0,0,3,7,11,10,8,8,0,0,0,51,11,20,24,34,34,20,4,3,149,8,37,25,28,32,12,5,0,145,6,26
RA15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,6,15,5,0,32,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,10,6,0,29,3,11,12,11,12,34,13,3,92,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,16,0,0,0,0,4,3,0,0,14,3,9
RA19,11,25,12,5,13,7,0,0,77,18,46,35,15,9,0,0,0,112,56,175,106,116,145,114,16,0,731,31,65,59,45,59,48,6,0,310,10,25,12,13,16,3,0,0,82,11,41,23,17,14,16,0,0,121,3,17,15,11,17,15,0,0,75,56,118,54,54,40,32,8,0,357,39,60,32,24,33,27,6,0,222,12,43,16,17,8,7,0,0,110,25,43,28,12,8,7,0,0,123,7,4,0,0,3,0,0,0,19,7,7,9,6,10,5,0,0,48,258,510,508,471,324,170,52,9,2313,542,1168,909,814,700,456,87,23,4703,7,32,9,8,5,3,0,0,60,3,12,9,0,0,0,0,0,27,14,22,7,3,6,3,4,0,67,0,11,8,0,0,7,0,0,30,7,11,12,4,8,5,0,0,42,27,85,40,45,59,40,8,0,308,12,37,16,28,44,18,0,0,158,64,144
RA20,3830,8050,7686,7177,6106,4202,1537,529,39121,5504,26118,24766,10920,5035,1395,176,29,73933,14881,51956,50330,53647,45261,31942,16201,5517,269729,10865,28403,20652,18269,12974,8227,4853,1408,105659,1436,4602,4361,3611,2326,1288,565,187,18383,3016,12770,10549,8852,6931,3862,1827,686,48490,1173,6769,6546,6503,7862,5697,2420,627,37603,16324,58537,50319,37777,25438,14157,5000,1604,209158,8301,21019,18043,15425,12605,7857,2693,748,86687,6553,15664,9756,5446,3453,1875,680,219,43651,4193,13643,8566,6180,3564,2009,1011,285,39454,793,475,291,289,317,310,294,85,2845,1238,3837,3972,3405,2397,1403,646,301,17190,22629,30214,23998,21149,17290,14683,11291,5852,147109,100740,282056,239833,198641,151554,98913,49183,18078,1139002,5171,12236,10708,7159,4107,1807,625,219,42025,1273,9342,8187,4122,1991,554,69,18,25573,2009,8157,6589,4773,3123,2153,1954,838,29598,1620,5265,3435,2307,1073,408,125,51,14278,1134,2672,2446,1602,893,306,122,42,9219,10822,42779,31993,27648,22371,12438,6281,2260,156597,5232,25116,24040,24034,23457,15022,5750,1704,124353,21783,76695
RA21,264,633,971,934,1089,992,279,64,5231,537,1527,1365,888,617,284,30,4,5252,4197,11050,12048,15205,14722,11544,4971,1446,75173,3301,7231,5925,5781,5552,3553,1751,464,33564,884,2454,3107,3216,2423,1456,664,170,14368,504,1809,1897,2100,2347,1248,472,139,10516,341,1602,1981,2053,3336,2999,1005,225,13547,1400,3942,5152,5104,4746,3202,991,271,24807,1286,2123,2493,2751,2820,2078,684,135,14369,766,1126,1084,785,870,631,173,43,5478,988,2178,2084,1863,1423,932,371,105,9944,84,68,41,70,70,116,84,38,566,154,494,781,805,711,507,229,89,3771,6930,6006,6507,7635,7713,7353,5038,2198,49384,21638,42234,45438,49205,48441,36878,16745,5392,265970,366,958,1386,960,782,343,93,45,4932,67,290,425,384,355,162,16,7,1703,248,671,864,848,614,463,329,162,4195,140,401,464,349,205,105,25,15,1710,582,1277,1479,1101,659,273,88,26,5486,2618,8374,7908,9088,9455,5795,2492,823,46549,1258,5390,6118,6268,7740,5559,1912,547,34782,2828,8936
RA22,22,119,94,141,164,148,31,13,734,75,183,131,79,99,54,10,3,643,978,2126,2083,2815,3018,2547,1011,269,14860,506,1097,891,1072,1238,870,409,90,6173,428,921,1171,1335,1081,586,179,56,5757,66,270,285,340,429,221,83,28,1723,62,276,346,398,654,534,180,29,2492,245,683,783,752,826,540,155,47,4033,205,354,392,422,507,343,103,10,2341,107,139,134,98,103,104,35,7,722,181,448,427,432,364,230,96,19,2193,24,16,7,20,16,30,29,12,144,35,90,120,122,159,114,46,24,696,1691,1365,1349,1848,2094,2178,1413,643,12582,4636,8078,8224,9871,10750,8506,3783,1255,55094,41,133,206,109,127,53,16,10,690,15,45,54,73,59,25,0,0,272,34,85,115,138,128,109,75,37,720,18,58,58,65,29,15,4,0,246,194,374,421,316,181,65,23,11,1576,444,1536,1420,1912,2205,1347,575,200,9645,279,1100,1163,1211,1561,1185,410,150,7048,586,1583
RA23,0,0,4,6,0,8,3,0,26,0,0,0,0,0,0,0,0,6,5,12,9,27,36,39,22,9,157,3,10,9,6,31,17,8,8,88,5,12,23,19,12,6,3,0,77,0,0,0,0,5,4,0,0,18,0,4,3,11,13,18,0,0,49,0,6,9,3,9,16,7,0,49,0,9,4,6,12,10,6,0,37,0,3,3,0,4,3,0,0,9,0,4,4,10,5,3,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,19,13,15,22,28,29,25,12,160,31,63,88,110,169,148,78,27,715,0,3,0,0,4,4,3,0,20,0,0,0,0,0,3,0,0,7,0,3,0,3,3,4,3,0,10,0,0,0,0,0,0,0,0,4,3,9,5,7,0,0,0,0,22,3,11,29,16,35,16,10,0,119,3,9,13,24,27,30,3,0,119,4,8
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,3,21,8,12,4,7,3,0,58,9,28,11,6,3,3,0,0,58,28,111,54,54,48,38,10,0,348,20,59,38,29,21,9,4,0,175,0,19,13,7,9,3,0,0,50,5,31,18,7,7,0,0,0,70,4,11,9,7,19,6,0,0,53,28,80,49,30,18,13,3,0,223,12,41,22,18,24,9,0,0,128,4,28,20,13,3,0,0,0,63,12,19,20,18,9,0,0,0,73,0,0,0,0,0,0,0,0,3,3,6,10,6,3,0,0,0,35,177,314,350,244,145,70,16,3,1329,297,769,620,444,313,166,39,3,2654,15,23,11,0,7,4,0,0,60,3,6,4,3,0,0,0,0,23,8,15,11,3,0,0,0,0,43,6,6,3,4,0,0,0,0,21,9,12,3,3,0,0,0,0,27,28,57,21,25,29,10,0,0,176,11,28,21,16,17,14,0,0,107,54,96
RA30,1756,4222,4025,3670,2953,2265,807,213,19914,3730,9380,9642,5314,2440,759,98,7,31375,11530,35097,35464,37235,32563,24723,12012,3383,192006,6030,18535,16895,15156,12578,8686,4326,1206,83403,1097,2778,3595,3069,2166,1394,593,160,14851,2358,8367,8076,7227,5233,2936,1397,483,36084,685,3579,4611,4830,5083,3743,1516,348,24403,10695,26777,26788,22838,15785,9698,3214,851,116640,6858,12253,11520,9594,7448,4883,1770,409,54745,4467,6557,4335,2680,1821,1107,464,123,21561,3879,7125,6270,4776,2817,1963,727,184,27747,557,259,154,169,195,209,178,79,1798,672,1806,2153,2006,1481,941,467,187,9706,15786,18557,16225,15055,12240,10288,7081,4049,99279,70094,155300,149762,133613,104796,73599,34663,11683,733497,2083,5298,4564,3220,2024,1043,300,99,18628,858,2532,2825,1694,852,303,45,4,9113,1116,3765,3299,2533,1726,1109,871,411,14832,823,2492,1845,1280,632,284,83,25,7460,656,1607,1649,1048,619,220,55,21,5872,8600,25645,22535,21532,17463,9704,4281,1481,111245,3171,14122,18259,17478,15337,9300,3416,957,82039,17949,44667
RA31,126,439,587,602,664,573,196,41,3235,625,958,922,603,439,223,29,0,3804,5084,12383,12972,14240,13764,10813,4676,1047,74975,1802,4367,4426,4725,5240,3788,1607,317,26268,596,1179,1718,1803,1485,832,383,83,8082,340,1468,1654,1856,1701,967,374,95,8459,154,899,1378,1765,2029,1516,512,97,8352,1649,2966,3722,3943,3373,2117,674,167,18604,1137,1647,1897,1885,1834,1375,460,84,10308,404,547,494,466,463,373,131,24,2899,1147,1651,1654,1446,1173,844,279,75,8268,125,64,44,51,80,106,83,31,586,199,412,556,648,523,381,184,55,2965,6167,6062,6254,6806,6374,5798,3801,1623,42875,19551,35049,38282,40848,39137,29706,13386,3736,219687,197,656,834,723,517,247,96,12,3283,167,246,332,278,238,102,14,0,1384,350,759,728,703,498,371,228,76,3727,104,261,243,248,111,65,17,3,1050,480,728,883,655,415,164,44,4,3376,1850,5364,5348,6671,6607,3893,1651,467,31852,933,3939,5586,5912,5257,3239,1218,285,26377,4242,8781
RA32,166,602,646,579,535,390,122,32,3076,432,714,569,374,243,91,25,3,2447,3883,10175,10008,10503,9507,6246,2416,530,53262,1091,3242,3199,3278,3515,2231,927,168,17650,419,1065,1293,1245,936,481,197,46,5681,390,1276,1310,1282,1083,529,203,48,6114,136,793,995,991,1161,783,230,41,5133,956,2419,2719,2779,2134,1113,310,83,12505,849,1550,1528,1446,1104,734,211,33,7463,222,436,326,339,299,204,70,12,1910,772,1568,1509,1288,901,590,174,23,6815,78,57,28,40,68,55,47,19,394,150,343,408,540,353,203,90,26,2109,5763,6158,5498,5956,5217,4062,2320,759,35730,15295,30396,30048,30633,27038,17709,7333,1822,160287,251,830,792,566,365,177,59,11,3053,86,206,206,187,113,51,9,0,858,293,732,621,533,342,217,114,48,2891,60,249,199,152,82,39,11,3,811,328,693,700,455,231,79,24,3,2518,1612,4626,4197,4350,4059,2036,790,207,21867,797,3256,3872,3875,3340,1736,602,139,17614,2870,7023
RA33,11,52,51,40,25,18,3,0,205,15,41,28,14,11,3,0,0,112,480,1503,1273,1191,1018,511,181,31,6195,103,325,277,251,296,186,63,5,1504,95,220,237,221,132,64,23,3,997,17,79,92,93,59,26,14,0,388,22,98,82,77,77,51,12,0,420,67,228,187,169,120,59,13,3,838,60,114,92,78,59,48,10,0,475,12,28,21,14,12,16,7,0,107,83,181,131,116,80,46,13,0,644,0,8,9,7,6,10,8,0,45,16,38,33,45,35,24,7,0,197,789,1042,812,828,756,547,226,52,5053,1771,3953,3338,3149,2687,1604,578,104,17175,13,75,53,33,30,15,3,0,217,20,23,19,11,11,7,0,0,97,35,113,69,55,34,18,11,0,326,3,20,16,14,3,0,0,0,61,83,139,108,53,30,11,4,0,433,127,406,320,384,376,148,49,15,1828,163,454,379,357,280,154,37,7,1840,283,753
RA34,3,32,20,17,10,12,8,0,108,7,10,10,15,17,3,0,0,63,281,666,558,535,445,241,72,6,2806,159,312,268,200,210,87,24,5,1267,112,170,166,168,161,46,19,7,856,16,65,71,94,56,21,5,0,319,16,84,77,64,57,14,4,0,320,40,130,137,133,130,21,4,3,607,50,91,90,89,70,31,4,0,417,11,17,22,13,7,3,6,0,90,51,100,82,57,56,35,4,0,388,0,9,0,3,3,7,3,0,28,13,27,20,27,13,7,4,0,112,621,599,447,434,424,311,151,42,3027,1393,2320,1973,1833,1668,845,311,63,10399,10,32,34,22,3,8,0,0,110,8,11,14,7,8,0,0,0,45,27,58,26,40,21,9,4,0,183,9,5,5,5,5,0,0,0,34,89,111,90,59,32,5,0,0,388,105,262,242,283,334,109,39,11,1374,128,376,286,239,218,58,28,7,1327,212,482
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,9,3,3,8,3,3,10,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
RA39,6,28,7,3,7,16,0,0,73,11,13,9,15,9,6,0,0,57,44,164,106,146,212,207,43,7,930,21,79,52,53,81,86,18,0,387,11,26,17,18,18,17,3,0,111,12,35,21,21,23,8,0,0,115,0,9,3,10,29,24,9,0,87,47,74,45,45,60,50,6,0,331,35,55,28,21,24,33,3,0,194,16,37,15,7,8,5,0,0,81,15,36,25,17,27,21,0,0,142,0,3,0,0,3,0,0,0,9,8,3,6,3,12,10,3,0,48,166,355,336,299,265,187,54,9,1657,391,925,669,647,771,673,135,14,4223,15,15,5,9,6,0,0,0,53,3,9,3,4,5,0,0,0,21,8,23,7,3,10,11,7,0,62,3,9,3,3,3,0,0,0,27,4,13,6,8,4,3,0,0,44,42,95,38,62,115,75,8,0,426,10,31,24,29,55,39,4,0,197,65,140
