RA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
RA61,141,506,575,581,542,395,130,50,2916,376,1045,671,425,250,83,13,4,2871,1147,2997,3193,3735,3782,2932,1558,499,19866,810,2019,1442,1680,1631,1076,617,197,9478,165,466,572,555,441,216,114,34,2560,160,692,749,756,751,407,198,78,3793,69,477,585,569,809,636,230,73,3444,632,1933,1905,1962,1683,1086,423,144,9766,477,1087,1103,1137,1123,783,244,72,6030,209,502,444,342,285,239,80,31,2141,402,830,806,618,422,242,114,23,3455,49,26,21,24,28,43,26,7,233,63,175,223,238,213,133,66,31,1140,1819,1753,1586,1822,1804,1685,1213,524,12208,6514,14527,13899,14444,13769,9958,5024,1758,79894,157,593,620,437,282,160,48,25,2323,57,139,186,126,85,51,7,0,648,104,244,328,268,195,151,100,54,1447,80,145,138,109,74,24,4,4,585,92,207,269,233,128,50,15,3,1005,782,2419,2152,2506,2524,1612,728,271,12983,225,1458,1807,1875,2279,1449,770,248,10109,1446,3660
RA62,20,60,100,138,165,175,60,17,728,83,131,125,121,78,39,10,0,589,659,1470,1649,2133,2382,1754,762,173,10986,352,606,542,732,939,567,275,38,4062,205,441,528,527,371,230,96,19,2417,39,135,178,235,334,183,69,18,1178,14,99,167,231,378,333,114,13,1351,115,306,454,546,582,422,98,29,2554,91,170,263,341,390,334,96,15,1693,42,85,101,90,135,119,43,3,620,142,242,288,279,254,170,63,12,1444,11,7,6,12,30,26,17,15,119,23,50,64,99,98,83,33,7,452,957,643,755,1106,1238,1233,732,217,6881,2744,4442,5226,6592,7374,5672,2451,568,35073,13,96,133,122,101,54,15,0,537,6,27,41,48,52,26,4,0,203,26,59,108,128,113,91,53,20,595,12,45,33,30,34,9,3,4,167,88,169,207,184,125,42,7,5,825,223,624,639,1000,1283,771,311,99,4952,102,471,684,723,939,757,329,77,4080,433,1051
RA63,0,5,4,6,4,9,4,0,33,0,0,7,0,5,3,0,0,17,19,71,94,134,173,107,51,3,655,10,16,16,42,41,44,15,3,191,12,31,22,26,17,8,3,0,124,0,4,3,25,12,5,5,0,70,3,5,0,13,17,9,8,0,56,6,14,19,15,27,26,6,3,117,0,5,5,20,15,8,6,0,59,0,0,3,3,0,6,3,0,18,9,24,26,16,20,14,3,0,118,0,0,0,0,0,0,3,0,6,0,3,0,6,3,3,3,0,20,39,48,51,70,76,87,38,20,424,108,238,253,374,412,346,143,33,1899,0,4,3,9,4,3,4,0,24,0,0,0,4,8,0,0,0,18,0,8,6,8,5,8,3,0,39,0,0,3,3,3,3,0,0,15,3,17,7,12,3,5,0,0,44,7,21,13,24,57,46,12,5,192,9,30,25,21,39,39,7,3,174,17,43
RA64,0,0,4,4,3,0,0,0,16,0,0,0,0,0,0,0,0,0,11,34,31,37,46,41,18,3,216,3,11,7,11,27,10,10,0,83,11,13,14,8,19,4,3,0,76,3,3,0,3,9,3,0,3,21,0,3,3,3,4,7,0,0,27,0,3,6,8,12,9,3,0,40,0,0,0,0,5,3,3,0,20,0,0,5,0,0,0,3,0,9,0,3,3,10,10,4,0,0,32,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,8,15,13,15,19,23,21,15,3,122,44,86,85,106,164,114,50,9,666,0,3,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,15,0,0,0,0,3,0,0,0,3,3,11,7,3,3,3,0,0,26,0,19,12,12,31,13,8,3,96,0,18,12,13,26,15,10,0,94,3,18
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,17,6,5,3,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,4,9,17,11,8,9,7,0,0,57,0,3,6,0,3,4,0,0,22,5,3,0,3,0,0,0,0,10,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,6,3,0,3,4,0,0,0,15,0,3,3,3,3,3,0,0,16,0,3,0,3,0,0,0,0,9,9,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,31,34,22,10,8,6,0,128,48,80,59,47,35,30,8,0,308,0,7,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,8,3,5,0,0,0,34,0,3,0,3,4,4,0,0,19,3,6
RA72,38,169,194,184,148,73,21,3,830,159,386,328,146,74,17,0,0,1110,917,3318,2647,2388,1595,758,237,38,11902,239,1142,768,614,485,269,96,17,3640,52,187,216,187,135,57,14,7,853,80,468,382,299,219,81,22,5,1565,11,157,235,232,269,156,34,4,1104,288,1130,978,865,525,227,44,6,4065,201,622,573,493,365,182,49,10,2497,67,162,143,89,68,43,11,3,594,133,421,306,244,121,49,9,0,1284,24,25,11,13,17,11,3,0,102,56,169,164,124,75,34,5,3,626,1443,2492,1927,1659,1176,631,201,59,9602,3702,10854,8879,7534,5278,2591,756,165,39769,66,220,249,160,80,30,0,0,805,16,133,143,64,55,13,0,0,429,89,241,171,122,73,40,12,3,751,20,96,66,46,16,3,0,0,249,54,159,175,93,47,10,3,0,540,304,1566,1059,781,625,267,94,22,4709,126,827,866,776,614,296,73,12,3587,663,2295
RA73,6,36,36,41,34,25,3,0,186,14,61,47,31,31,4,3,0,186,207,575,464,551,473,209,55,14,2551,44,199,167,147,144,77,24,4,810,27,81,96,106,52,23,11,0,388,17,155,121,114,62,37,9,0,515,11,61,87,73,109,59,20,0,426,26,228,196,186,152,49,10,0,842,31,224,227,195,151,50,16,0,898,34,54,39,30,29,13,6,0,198,61,99,83,91,44,19,4,0,402,8,5,3,3,7,6,0,0,31,9,55,50,42,26,12,3,0,193,723,901,628,700,524,304,106,19,3901,1211,2725,2246,2321,1840,889,258,45,11539,13,57,51,30,15,9,0,0,165,6,24,16,10,10,6,0,0,68,12,37,42,32,11,8,0,0,151,0,19,9,12,7,0,0,0,49,35,61,72,35,20,3,0,0,219,86,476,384,355,295,97,49,12,1750,24,249,244,269,248,104,29,5,1176,104,436
RA74,6,20,17,10,13,3,3,0,71,8,13,3,5,3,0,0,0,32,95,305,258,249,180,78,11,0,1175,35,129,109,95,67,31,8,0,474,72,108,78,77,35,6,3,0,382,14,52,67,61,47,9,0,0,239,7,73,59,73,63,27,5,0,311,27,84,94,80,71,24,0,0,377,38,109,106,95,70,11,3,0,430,3,20,27,13,15,4,0,0,87,30,70,28,29,23,3,0,0,185,3,4,3,8,5,0,0,0,16,13,23,25,27,16,0,0,0,100,1059,890,674,505,328,138,38,5,3640,1415,1902,1544,1312,926,336,78,11,7526,0,18,16,3,9,0,0,0,48,3,12,4,3,0,0,0,0,26,3,24,15,18,3,0,0,0,68,0,10,4,4,0,0,0,0,17,52,62,37,21,8,3,0,0,179,37,142,145,149,145,36,5,0,655,29,197,170,192,182,54,4,0,828,66,212
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,0,0,12,4,18,18,10,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,3,0,0,3,0,0,4,0,0,0,0,5,0,0,0,9,3,25,19,40,41,36,4,0,171,8,14,11,8,14,16,0,0,60,0,7,3,0,3,0,3,0,21,0,6,0,0,4,0,0,0,6,0,9,0,3,11,3,0,0,27,4,11,11,14,9,6,0,0,52,6,5,8,8,3,4,0,0,30,3,8,0,0,0,0,0,0,7,3,4,4,0,8,3,0,0,16,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,43,100,87,110,67,43,6,0,453,83,180,154,188,159,112,19,0,890,3,6,4,3,0,0,0,0,15,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,5,0,4,3,0,0,0,0,16,0,22,11,18,26,6,0,0,82,0,12,6,4,13,9,0,0,43,10,12
RA80,468,1336,1171,1276,1196,928,356,127,6851,773,3035,3252,2040,1186,355,32,0,10672,912,3534,3508,3327,2818,2106,1037,356,17600,684,1977,1538,1249,1018,774,436,134,7819,112,457,482,445,375,224,117,29,2238,188,1132,927,734,609,288,144,57,4084,110,625,726,585,630,465,240,69,3449,1200,4282,4191,3464,2395,1335,410,141,17411,1129,4164,3584,2994,2697,2145,733,228,17663,447,1150,851,570,385,181,59,13,3652,339,944,731,483,271,155,64,18,3008,57,22,11,7,20,16,19,7,166,99,319,396,353,259,188,112,42,1774,1771,2552,2012,1698,1264,1039,767,396,11492,8288,25515,23378,19217,15119,10199,4530,1628,107877,575,1493,1376,1079,696,401,115,56,5794,203,887,822,701,419,119,14,0,3165,163,594,443,280,246,148,104,59,2030,101,328,242,199,118,55,10,0,1060,137,364,387,261,137,71,26,3,1375,745,3288,2672,2282,2127,1210,647,212,13195,436,2152,2258,1942,2073,1672,712,162,11410,1962,6328
RA81,0,0,7,0,3,0,0,0,14,0,3,3,3,0,0,0,0,4,6,12,7,6,5,3,0,0,37,0,12,4,8,4,0,0,0,32,0,0,4,4,3,0,0,0,9,0,0,3,0,0,0,0,0,9,0,4,0,3,0,0,0,0,9,0,0,3,9,3,0,0,0,13,4,6,7,0,0,4,0,0,23,0,0,3,3,0,0,0,0,6,0,0,5,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,10,3,9,0,0,0,31,19,41,53,39,31,12,0,0,194,0,7,3,0,0,0,0,0,9,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,13,0,0,3,4,4,0,0,0,13,0,9
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,8,6,6,3,11,0,0,0,32,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,0,3,7,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,11,3,7,3,3,0,3,0,0,18,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,26,16,18,7,0,0,84,25,35,48,29,36,15,0,0,186,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,13,0,0,0,0,6,4,0,0,12,10,5
RA91,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,3,3,3,0,0,0,17,0,0,0,0,3,0,0,0,8,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,7,3,4,3,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,14,15,0,12,3,0,5,0,49,23,33,18,25,16,7,4,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,3,3,0,4,0,0,0,4,0,7
RA94,0,8,6,6,10,4,3,0,37,0,9,6,5,0,0,0,0,15,11,34,53,71,67,43,12,5,298,7,12,21,29,38,13,11,0,122,0,4,8,9,4,3,0,0,32,0,3,3,5,3,7,3,0,23,0,3,13,12,0,7,3,0,35,3,12,22,18,9,11,3,0,75,3,14,11,4,10,10,0,0,60,0,0,0,3,0,5,0,0,11,0,11,16,10,9,4,0,0,51,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,14,63,131,89,68,70,41,16,3,485,91,236,254,238,226,141,51,13,1253,0,6,9,3,0,0,0,0,17,0,4,0,3,0,0,0,0,13,4,3,4,0,5,0,4,0,18,0,0,0,3,0,0,0,0,4,0,3,3,5,0,0,0,0,9,0,12,19,10,26,16,3,3,87,5,18,23,22,20,12,5,0,105,12,38
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0