RA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
RA10,21573,31663,12547,15964,21758,9378,4293,5099,1691,123958,25969,29545,18965,32657,32563,14532,5485,7569,2408,169687,44529,24585,156347,49176,50437,26693,31583,32217,6760,422333,2535,1937,1991,3701,7357,3928,1809,3020,308,26586,6611,5573,4416,8863,15105,6473,3787,4737,851,56414,3530,6733,2535,2431,5378,2310,1490,2103,631,27151,4121,6523,4657,4984,6481,3986,3583,5294,5472,45106,269301,611390,236901,172510,242605,112190,66606,82218,30578,1824294
RA11,4592,7366,2086,4363,3876,1423,560,996,317,25587,5670,6181,3588,9302,6509,2457,893,1728,459,36789,18072,7534,57447,20349,16735,10194,13396,14844,2230,160803,955,510,764,1536,2460,1745,648,1629,95,10334,1840,1119,1221,2901,3758,1908,1017,1786,195,15755,532,769,351,471,846,383,237,483,75,4144,1653,1432,1562,1808,1714,1544,1342,2321,1131,14518,51591,96939,70923,49150,45323,22823,18962,26518,5634,387873
RA12,1947,1830,447,1125,895,312,142,374,94,7157,1978,1352,702,2272,1538,496,201,576,102,9221,7856,1929,14586,5319,4165,2472,4226,5128,686,46368,574,158,217,453,686,385,217,579,35,3300,984,265,325,828,988,495,321,622,62,4896,234,173,107,114,185,96,59,152,19,1140,1245,466,590,623,552,499,582,1043,445,6043,20557,22032,17809,12521,11126,5310,5968,9372,1706,106395
RA13,170,92,11,98,61,10,7,23,0,473,199,71,25,157,98,22,22,32,8,635,665,88,765,265,222,88,297,316,42,2753,63,6,15,26,34,17,18,37,4,218,101,12,24,25,32,16,26,23,8,276,21,6,4,5,10,3,8,8,0,71,108,28,30,44,31,19,45,93,37,430,1810,1281,908,762,621,215,442,578,107,6724
RA14,37,11,0,22,9,3,0,0,0,86,22,16,11,28,11,3,3,10,0,106,110,17,113,49,35,7,18,76,10,444,16,5,4,9,4,0,0,10,3,49,24,4,3,12,0,5,4,12,3,63,0,0,0,3,4,0,0,0,0,11,18,8,0,21,7,7,10,17,10,95,306,181,136,171,92,33,39,130,33,1125
RA15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,12,3,3,3,4,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,14,7,11,6,7,8,3,74
RA19,14,27,7,18,14,4,10,7,3,100,12,28,19,48,25,14,12,30,6,198,45,38,246,70,38,31,82,93,6,657,4,0,3,8,3,7,7,14,0,46,9,6,5,16,3,13,6,13,0,67,3,8,0,0,3,3,3,5,3,29,3,14,15,16,11,8,9,21,25,117,200,562,348,285,168,119,144,278,58,2162
RA20,16776,23817,12044,13651,16571,8027,3896,4778,1248,100806,21356,23448,18213,30039,25759,12775,5620,7527,1781,146519,34963,16751,131667,43374,35238,22373,24197,29218,4904,342678,1652,1191,1671,3176,4126,2773,1371,2419,199,18584,4145,3222,3226,7415,7692,4301,2650,3181,536,36367,2327,4493,1876,1815,2556,1489,1086,1292,441,17372,3531,5280,4584,4746,4657,3512,3073,4362,4226,37974,213405,494618,204145,154776,184129,95479,54057,73191,22804,1496607
RA21,4159,5598,1985,3540,2879,1197,474,945,241,21014,5002,5307,3144,8287,5230,2068,705,1681,401,31830,15660,4686,46942,15596,11009,7485,9827,13138,1703,126049,680,302,605,1118,1359,1037,417,1164,76,6764,1200,562,927,2259,1589,1098,697,1200,122,9650,409,600,349,308,374,211,178,362,79,2868,1786,1314,1616,1658,1177,1248,1127,2088,1093,13099,44444,78741,58919,40376,31537,17199,14157,22953,4645,312975
RA22,1207,1095,242,730,472,182,94,214,48,4279,1230,1031,492,1548,961,338,132,361,70,6151,4856,1013,8439,3224,2099,1538,2044,2975,356,26537,244,67,127,291,318,268,98,288,20,1724,414,129,171,461,324,247,161,313,23,2233,112,92,65,64,62,41,35,91,13,569,673,288,332,351,260,313,304,577,265,3359,11639,13448,10262,7938,5574,3242,2996,5317,923,61329
RA23,10,14,0,6,6,0,0,3,0,44,14,6,3,10,10,8,3,3,0,50,94,8,58,42,8,12,16,27,3,261,3,0,0,4,4,3,0,3,0,19,8,0,0,5,3,7,0,0,0,26,0,0,3,0,0,0,0,0,0,4,9,7,9,4,0,0,0,4,3,37,177,154,75,86,48,31,24,47,10,652
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
RA29,10,16,3,12,8,5,4,6,0,65,10,25,18,32,14,7,3,15,3,119,34,19,158,42,23,23,32,59,6,383,0,4,5,3,0,0,3,0,0,15,0,3,6,7,3,3,5,3,0,33,0,8,4,0,0,0,0,0,0,20,3,11,14,5,0,3,9,13,15,72,132,367,223,181,112,65,72,142,34,1337
RA30,9373,14232,5668,7781,8546,3721,1496,2265,682,53765,15743,16507,10966,23579,20249,9092,3107,5432,1274,105948,29329,14643,106065,37414,33910,21009,19690,26607,3975,292634,1256,941,1381,2553,3314,2958,1132,2503,170,16205,2925,2261,2354,5391,5812,3633,2045,2931,392,27747,1231,2385,1208,1156,1703,920,600,1097,249,10547,2139,3013,2987,2800,2804,2342,2025,3213,2649,23977,121732,284015,145007,107107,117736,60572,34543,54486,13682,938885
RA31,2089,3616,1287,2240,1703,633,370,590,138,12660,3679,3651,2539,6233,4281,1423,808,1279,278,24173,10138,4136,40644,13118,10403,6221,9707,10414,1269,106051,483,268,557,933,1124,1194,510,1283,62,6412,942,505,732,1798,1358,952,827,1127,102,8336,233,413,270,255,279,151,193,329,45,2173,912,745,1191,1075,806,868,996,1591,801,8987,26946,55698,49753,30317,25336,12987,14035,18491,3213,236782
RA32,1829,2697,942,1725,1291,519,341,453,124,9915,2971,2599,1840,4759,3208,1203,640,989,238,18450,8392,3172,29673,9400,7704,4226,8086,7024,1026,78703,410,229,414,743,815,754,373,821,31,4584,734,436,527,1303,988,613,608,784,74,6071,248,348,207,262,224,143,165,244,40,1885,831,660,914,870,590,725,882,1373,627,7480,22555,42518,36477,23322,19133,9705,11691,13279,2581,181246
RA33,276,210,88,140,103,28,38,51,4,940,384,216,174,379,229,75,88,134,19,1694,1011,297,3401,689,662,297,1312,860,121,8654,79,23,49,73,69,72,55,126,8,549,150,39,51,100,58,42,76,98,7,622,25,19,26,19,16,6,24,56,3,183,164,71,109,95,72,66,132,186,91,977,2971,3419,4123,1884,1543,673,1792,1672,284,18365
RA34,226,143,48,137,55,9,18,36,7,682,273,151,81,309,202,42,47,63,18,1184,752,298,1685,585,502,183,540,677,89,5313,80,38,39,94,75,34,30,113,12,519,102,41,47,66,58,29,36,66,3,448,22,21,11,11,11,5,7,20,3,111,135,76,91,120,88,37,99,182,69,908,2253,2429,2085,1579,1252,394,808,1249,219,12281
RA35,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
RA39,13,22,11,8,3,5,6,14,3,93,15,29,13,42,20,7,8,41,0,171,49,38,242,68,52,28,72,132,14,696,0,0,7,7,0,0,0,10,0,30,6,7,4,7,3,7,5,13,0,43,3,3,0,4,3,0,5,15,5,39,3,13,17,15,4,4,11,25,22,105,163,407,308,245,129,83,129,441,58,1957
RA40,3747,7084,2184,4354,3656,1346,553,895,295,24122,5610,6268,4031,8554,6296,2425,965,1618,442,36199,10516,5604,39620,16179,13513,7794,6588,9171,1514,110492,606,403,639,1217,1612,1388,480,1233,89,7666,1168,946,973,2473,2463,1322,644,990,154,11127,467,1018,522,553,654,312,243,471,117,4356,799,1145,1121,1257,1094,906,676,1202,880,9075,44754,115565,55140,47489,44583,21795,12269,20918,5017,367534
RA41,709,1182,314,781,559,229,92,176,47,4093,955,919,512,1478,904,373,136,309,56,5635,2877,1009,8580,3311,2389,1571,1752,2646,293,24422,171,72,159,235,362,337,133,382,11,1860,334,165,229,549,415,254,195,321,30,2498,92,87,74,61,80,43,43,130,17,625,341,204,284,287,223,205,243,445,150,2378,8051,13058,10659,7860,6139,3452,2699,4996,704,57635
RA42,617,708,105,512,279,95,67,130,30,2540,718,527,263,1065,507,179,106,198,33,3607,2633,705,5927,2455,1605,1013,1702,2077,254,18369,189,70,112,205,264,213,111,311,23,1488,316,83,117,410,239,183,157,291,19,1821,70,53,39,46,50,23,31,88,6,412,346,160,215,208,138,183,234,406,160,2037,6380,8048,7014,5495,3644,2031,2473,3832,600,39506
RA43,176,184,39,122,82,37,21,32,5,695,199,143,77,256,139,62,31,54,14,971,808,213,1846,555,435,273,438,577,71,5220,64,17,28,42,59,38,40,61,0,351,100,49,41,78,69,45,38,66,7,500,25,21,21,14,22,6,13,29,3,161,117,41,64,59,39,53,44,101,46,583,1977,2284,2216,1330,1051,584,656,1016,173,11287
RA44,46,47,5,55,18,6,0,8,0,183,67,42,22,74,39,8,6,15,3,280,211,51,405,147,96,56,120,156,31,1267,21,3,9,20,12,12,11,16,0,106,33,8,4,27,14,4,7,18,3,116,5,5,3,3,5,3,3,3,0,32,36,26,17,38,11,7,15,38,15,200,539,631,490,432,252,116,180,283,68,2979
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA49,4,5,3,0,0,0,3,5,0,23,0,6,3,8,6,3,3,13,0,40,11,3,67,11,9,9,18,33,3,157,0,0,0,0,0,4,0,3,0,7,0,0,3,3,0,0,0,7,0,12,0,0,0,0,0,0,3,4,0,16,4,0,3,0,0,0,8,11,4,31,35,96,77,32,34,20,36,109,7,444
RA50,6614,11356,5368,5891,6527,2639,1547,1928,510,42385,8158,9207,8376,11898,9834,4621,2403,3197,720,58411,16037,8700,76409,22323,17970,10127,13608,13882,2848,181903,838,546,1056,1843,2337,1871,766,1606,131,10999,1820,1484,1943,3792,4240,1955,1340,1702,243,18514,984,1832,1028,970,1314,630,458,776,168,8172,1327,2156,2061,2199,2184,1562,1401,1938,1505,16345,76806,187729,108624,67451,71616,34858,26184,33180,9031,615478
RA51,677,1036,471,582,556,222,190,248,36,4022,809,701,767,1176,779,359,203,352,54,5195,2383,993,11125,2924,2230,1340,2520,2419,427,26362,149,78,161,273,362,350,126,332,8,1842,297,149,249,472,462,252,222,290,29,2419,85,95,77,85,82,37,61,109,12,650,287,171,286,301,264,246,290,403,184,2427,7016,12275,13816,6849,5897,3285,3825,4903,876,58745
RA52,772,837,255,500,431,136,118,167,34,3253,713,639,415,976,618,277,174,242,51,4109,2360,854,8259,2374,1710,980,2088,1939,303,20873,172,68,123,197,315,256,134,305,27,1597,318,117,167,378,321,171,171,268,27,1927,91,84,56,70,70,37,52,96,11,566,343,148,249,252,196,176,313,392,173,2228,6941,10163,9990,5559,4546,2309,3265,3843,723,47332
RA53,358,371,186,193,208,71,67,79,16,1542,426,297,296,457,398,100,111,118,33,2235,1309,472,4684,830,899,398,1142,916,236,10885,96,43,77,112,141,98,65,119,10,765,161,61,102,144,176,87,110,125,14,984,48,32,30,25,28,12,16,45,5,255,181,89,152,118,124,101,156,181,96,1201,3933,4933,5902,2354,2598,1062,1789,1833,474,24881
RA54,192,217,177,128,83,29,99,63,17,993,248,228,281,256,194,61,193,125,18,1604,718,361,5048,539,495,153,1502,948,165,9928,35,59,54,101,91,33,69,145,11,599,76,61,95,92,92,22,115,97,8,674,17,31,20,16,13,3,40,34,5,187,78,73,103,109,80,35,138,163,94,878,2213,3702,6148,1582,1411,414,2342,1789,365,19960
RA55,3,20,9,0,3,0,0,5,0,37,0,11,0,0,0,0,3,0,0,18,3,13,63,0,0,0,9,35,3,124,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,13,78,73,0,4,0,21,55,9,250
RA59,3,18,9,0,3,3,4,9,3,49,3,15,11,16,8,0,9,22,0,84,22,13,233,38,32,17,75,69,11,508,0,3,0,3,3,3,8,7,0,34,0,0,3,9,6,3,12,12,0,49,0,5,0,0,0,3,6,4,0,22,3,7,4,0,0,0,7,10,4,41,73,214,279,110,77,41,139,193,42,1169
RA61,873,1495,550,864,859,255,90,143,73,5200,1365,1458,925,1980,1724,600,176,307,124,8661,3790,1548,12213,5368,4196,2245,1958,2498,474,34280,147,101,189,448,515,496,117,450,26,2494,283,225,232,862,710,353,150,324,65,3196,99,239,86,122,188,69,46,89,21,958,246,325,373,438,316,290,249,439,263,2932,11908,29538,15874,12874,11874,5338,3053,4967,1427,96844
RA62,494,597,190,339,282,72,43,115,37,2163,623,524,337,847,513,193,87,183,56,3353,2262,594,5749,2201,1504,898,1408,1794,269,16680,108,42,112,193,202,201,76,272,18,1229,201,110,116,399,265,156,95,214,22,1569,42,51,32,47,43,25,19,40,3,300,266,136,226,230,150,193,207,394,145,1949,5518,7753,7084,4866,3670,1914,1986,3253,640,36693
RA63,35,16,3,22,7,11,3,12,3,107,33,15,10,31,28,14,3,12,3,148,118,21,269,87,51,29,85,99,17,776,10,4,3,14,9,5,6,14,0,61,11,0,4,14,10,8,0,23,0,78,4,3,3,0,0,0,0,0,0,13,25,5,9,4,3,10,13,21,5,98,329,256,327,193,135,85,113,195,28,1661
RA64,24,8,3,3,4,0,0,5,0,55,18,8,7,11,11,4,0,3,0,60,85,12,99,27,24,9,14,47,3,328,4,0,0,3,0,3,0,5,0,21,8,0,3,5,5,4,0,8,0,33,7,4,0,0,0,0,0,0,0,16,17,3,3,0,6,10,0,11,7,51,216,112,122,60,60,33,27,110,18,746
RA65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
RA69,0,4,0,0,0,0,3,0,0,7,0,4,4,4,5,0,0,0,0,15,4,0,20,11,3,0,4,9,0,49,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,7,45,31,22,13,4,5,23,3,149
RA72,474,596,316,398,352,105,76,106,34,2464,855,790,662,1116,883,258,131,204,78,4977,1749,905,7335,2012,2105,744,1167,1258,347,17620,80,80,115,181,240,126,76,125,14,1043,153,125,147,307,311,122,85,134,25,1417,56,115,95,63,74,33,26,69,21,546,149,165,244,191,184,135,135,243,206,1652,6519,12574,9825,5877,6132,2160,1970,2735,925,48723
RA73,125,220,57,163,102,27,20,26,20,749,233,238,124,368,239,59,36,56,13,1369,512,300,1526,707,561,185,267,313,96,4472,33,30,27,73,78,36,12,52,15,360,48,36,37,114,66,36,27,46,16,435,15,35,16,25,23,17,9,22,8,167,58,82,72,94,74,30,52,79,53,588,1704,3902,2038,2092,1554,505,464,708,282,13247
RA74,77,114,25,78,29,5,3,15,3,353,105,88,53,155,64,11,12,29,11,524,256,231,572,378,208,72,168,266,55,2207,29,75,20,109,47,37,9,52,21,398,32,51,18,82,38,10,21,40,20,309,3,8,5,18,9,4,5,9,3,61,41,103,37,132,47,36,21,111,138,672,892,1830,782,1175,598,214,252,583,263,6579
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,4,0,0,0,0,7,0,18
RA79,0,3,3,3,0,0,0,6,0,19,3,3,3,7,3,3,5,5,0,37,7,12,52,12,5,3,17,25,0,136,0,0,10,3,0,0,0,0,0,13,0,0,9,7,0,3,0,3,0,22,0,3,3,3,0,0,0,0,0,7,0,3,0,0,0,0,0,7,0,16,28,102,85,54,22,12,31,54,4,387
RA80,1620,2228,684,1068,1780,424,107,233,194,8347,2476,2584,1336,2234,3047,627,177,400,341,13228,3136,2264,9017,3725,4274,1393,1033,1516,562,26918,192,174,158,375,486,262,67,183,30,1936,386,394,191,496,919,266,103,204,74,3023,205,443,130,150,238,77,33,83,48,1416,252,388,286,264,396,180,74,221,309,2369,26554,57015,14283,13464,22979,5438,2085,4237,3577,149626
RA81,9,9,0,3,5,0,0,0,0,25,8,6,4,8,4,0,0,0,0,27,11,5,42,19,6,3,5,9,0,100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,61,70,49,34,31,4,5,9,6,275
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,3,0,0,0,0,0,0,8,0,3,0,3,3,0,0,0,3,14,0,0,5,8,9,0,3,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,47,11,21,29,7,3,8,9,139
RA91,4,0,3,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,8,8,0,3,4,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,33,17,5,20,3,0,3,5,4,96
RA94,19,14,8,12,8,6,3,8,0,84,15,15,14,28,24,4,0,11,5,118,57,20,212,55,47,12,30,39,12,479,3,3,5,8,5,3,4,11,0,47,8,7,5,16,14,5,10,7,3,78,0,0,3,3,3,0,0,3,3,18,16,11,10,15,15,9,10,17,6,105,205,193,272,175,146,53,61,108,27,1244
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
RA99,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8