SED_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED10001,5097,5849,4978,3944,4225,3407,2515,4068,522,34606
SED10002,4110,8317,6660,4010,5219,3874,3073,5432,1306,42006
SED10003,4325,7199,4307,3763,3316,3159,1263,3141,516,30988
SED10004,8691,18192,2928,3374,5163,3083,636,1371,721,44167
SED10005,2492,5047,4367,3425,4332,2997,3112,3578,844,30201
SED10006,6246,4153,3844,3601,2929,2190,2955,3800,619,30324
SED10007,4023,5223,4943,4088,3896,2892,2902,3852,573,32393
SED10008,6558,12680,3924,3001,6474,3635,1136,1774,699,39879
SED10009,3342,4141,4079,3307,3026,2917,1464,3263,422,25959
SED10010,3309,6960,5274,4064,6326,3536,4615,4560,862,39504
SED10011,4027,9319,4335,4023,4387,2503,1422,2582,448,33051
SED10012,2286,4058,4483,3176,3944,2915,3881,4843,864,30461
SED10013,5846,7770,6796,4429,7311,4408,3758,3477,846,44637
SED10014,2913,4832,4739,3831,5263,3402,3999,3880,701,33554
SED10015,4340,8200,5303,4063,5696,3888,2602,4320,897,39307
SED10016,7403,11298,4289,3293,6622,4134,1253,1962,707,40961
SED10017,2832,3894,5599,3576,3809,3234,3755,4128,516,31340
SED10018,3491,8226,4668,3591,4795,3216,1568,2687,441,32681
SED10019,3020,3690,3590,3425,3057,2665,1993,3929,456,25834
SED10020,3534,5555,4006,3674,3865,3199,1590,3702,507,29620
SED10021,8154,17981,3597,3942,5324,3230,759,1611,736,45331
SED10022,5923,3584,3782,2867,2941,2413,2151,4382,471,28514
SED10023,6308,9468,5084,4184,6163,3643,1306,1948,608,38712
SED10024,7651,13201,2290,2653,4987,3292,545,1135,632,36393
SED10025,7761,13472,3419,2915,6029,3705,913,1584,730,40522
SED10026,4718,5367,4946,3889,4001,3342,2666,3709,523,33152
SED10027,4032,6870,4937,3265,6240,3198,2395,2712,672,34310
SED10028,6046,14178,2934,2866,5770,3231,817,1602,585,38034
SED10029,1988,3888,4406,2991,3951,2639,3619,4460,925,28883
SED10030,3616,6311,4526,3775,4510,3150,1716,3199,611,31413
SED10031,5647,5730,4946,4170,4255,2817,2304,3671,621,34166
SED10032,3286,7320,5239,3709,5409,3460,3126,4061,1023,36628
SED10033,5097,5650,6779,3614,5594,3233,2927,3458,641,36988
SED10034,5323,9373,5950,4431,6789,3643,1675,2285,587,40061
SED10035,8278,17974,4964,5153,7235,4749,1784,3051,943,54140
SED10036,4223,7257,5267,3960,6399,3364,3292,3098,807,37674
SED10037,5939,12757,4497,3841,5782,3281,1099,2444,593,40230
SED10038,4118,9498,4785,4231,4683,2825,1741,2520,524,34924
SED10039,3739,5921,5125,3954,3774,2873,2052,2821,439,30702
SED10040,4420,10105,5160,4444,6239,4489,2516,4421,926,42718
SED10041,7233,14756,2228,2941,5074,2897,544,1271,645,37581
SED10042,2856,5405,4879,3488,4033,2906,2288,3130,489,29476
SED10043,2714,5263,4521,3565,4231,3520,3529,3966,883,32190
SED10044,7976,15899,2962,3197,5753,3304,736,1341,690,41861
SED10045,4053,5357,3869,3546,3501,2857,1851,3895,474,29400
SED10046,2586,4958,4977,3495,5052,3170,4118,4431,978,33762
SED10047,3184,4688,5530,4143,6292,3556,5643,4633,888,38557
SED10048,3325,6476,5285,4264,6477,3659,4479,4202,765,38933
SED10049,3299,5762,5971,3877,4575,3546,3402,3692,516,34627
SED10050,8884,14528,3821,3835,5194,3589,855,1678,733,43123
SED10051,5461,10200,4108,3846,5822,3436,1768,2336,662,37645
SED10052,5593,8999,4666,3566,6144,3548,1512,2035,607,36672
SED10053,6563,7217,5305,4227,6508,3234,1989,3270,850,39150
SED10054,2491,5206,4813,3983,5942,3460,5613,4705,842,37045
SED10055,5020,6679,6362,3941,7795,4161,3968,3444,759,42138
SED10056,6939,4606,4666,3368,3919,3063,2838,5942,666,36007
SED10057,2655,3979,3457,3066,2640,2944,1436,3161,417,23764
SED10058,3936,10937,4163,4361,4434,2893,1428,2501,497,35141
SED10059,7252,19732,3576,4446,5572,3390,769,1916,771,47423
SED10060,9659,18797,2042,2716,5372,2967,338,841,827,43564
SED10061,5891,5610,3823,3548,3650,2877,1892,4333,561,32192
SED10062,4920,9626,4094,3449,6033,3517,1765,2490,665,36557
SED10063,4965,6178,4887,3607,4096,3047,2562,3699,561,33596
SED10064,3177,3989,3651,3419,2782,2363,1785,3477,492,25145
SED10065,5572,14281,5318,4143,7261,4179,2645,3580,984,47959
SED10066,3972,6744,5324,4024,6421,3504,3268,3394,678,37336
SED10067,6602,9527,4715,3410,4980,3305,948,1781,632,35899
SED10068,3032,5560,3929,3555,3567,2971,1387,2797,403,27203
SED10069,3023,4019,4940,3562,3601,2905,2272,3151,473,27956
SED10070,3555,6820,4776,3087,6150,3234,3209,3287,821,34935
SED10071,6027,11365,5193,4020,7689,4363,3034,2904,764,45353
SED10072,5168,9725,4957,4177,6349,4320,2500,4184,887,42264
SED10073,5930,15469,4645,3812,6853,4039,1318,2655,810,45527
SED10074,4672,10911,4648,3418,6593,3270,2533,2993,784,39827
SED10075,3126,5021,5941,4510,4853,3806,2998,3710,559,34520
SED10076,2670,3831,4266,3443,2753,2703,1307,2849,446,24262
SED10077,5276,14022,4856,4270,6421,4455,1740,3749,1126,45910
SED10078,5640,14408,4205,4032,5699,3404,1397,2909,692,42384
SED10079,2781,4623,5015,3665,3907,3121,2168,3291,435,29008
SED10080,10517,20797,4574,6298,5816,4140,659,3408,1112,57319
SED10081,4896,5501,4702,3426,3843,3135,2750,4694,551,33492
SED10082,4498,8119,4734,3854,4576,3360,1096,2459,496,33188
SED10083,3347,5669,5177,3998,4434,3539,1915,3346,494,31924
SED10084,3251,5196,4745,4237,3732,3413,1623,3427,505,30132
SED10085,4566,3980,5727,3217,3459,2511,4835,4164,525,32978
SED10086,9112,16698,2452,3285,4611,3461,491,1234,814,42163
SED10087,4692,6661,5487,4428,4251,3479,2302,3912,487,35697
SED10088,6630,10143,5184,4124,5801,3910,1498,2720,592,40606
SED10089,3044,8018,5047,4416,4789,3622,2427,3722,508,35581
SED10090,8493,17046,2646,3043,5376,3399,580,1395,793,42760
SED10091,4545,5862,6120,3649,4693,3170,2816,3359,600,34816
SED10092,3184,7669,4932,4247,4488,3275,2229,3457,555,34043
SED10093,3213,4460,5064,4073,4114,3436,2530,3849,583,31315
SED19494,274,649,480,430,261,224,339,582,103,3331
SED19797,3,22,18,16,21,17,10,18,5,130
SED20106,8743,15890,2981,3435,5114,3256,542,1368,723,42057
SED20207,5691,9882,5331,4226,6560,4018,3191,3486,788,43172
SED20302,3801,4420,5214,3524,3740,3397,2388,3706,507,30684
SED20401,3361,6231,5177,3335,4587,2993,1752,2711,424,30579
SED20508,3042,5329,4135,3282,3176,2439,1219,2278,411,25318
SED20604,4148,4986,4669,3602,3478,2723,2133,3445,494,29677
SED20704,3437,6142,4011,3553,3664,3067,1653,3096,408,29027
SED20804,2835,5125,3777,3016,2908,2473,1487,3445,410,25474
SED20906,4859,8850,2999,2717,4224,2807,784,1448,426,29110
SED21001,4898,11091,2902,2959,4321,3030,723,1719,540,32180
SED21106,6928,11553,1964,2607,3712,2808,345,825,516,31256
SED21203,1542,2953,3482,3033,2552,2218,2797,3178,595,22361
SED21303,5284,15254,3651,4022,5011,3066,944,1923,592,39756
SED21401,4567,7834,2755,2369,3844,3129,692,1568,502,27259
SED21503,3138,6486,3760,3259,4288,3067,1435,2440,443,28315
SED21608,3028,4838,4194,3203,3247,2532,1728,2844,477,26081
SED21706,5209,10580,2484,2834,4054,2970,639,1516,469,30747
SED21805,3905,5562,5422,3595,5071,3488,2389,3087,569,33096
SED21906,5729,12750,2535,3011,4181,2890,565,1362,576,33600
SED22005,3221,7005,4333,3224,4201,3272,2337,3829,615,32039
SED22105,4311,6267,7301,5275,6338,4423,4890,5252,767,44825
SED22201,3452,6264,4528,3182,4427,3071,1280,2306,437,28953
SED22305,1993,3406,5241,2998,3090,2547,3463,4684,657,28081
SED22404,3901,3967,4994,3061,2934,2146,1723,3094,525,26341
SED22501,4685,8603,4036,3141,4790,2828,795,1592,387,30852
SED22607,5403,11398,2976,3352,5045,3061,956,1819,549,34553
SED22704,4533,3654,4250,3134,2955,2232,2162,3740,455,27117
SED22802,3553,4478,5597,3267,4276,3064,1614,2797,440,29075
SED22901,3358,6365,3999,2817,4446,2958,1492,2258,479,28169
SED23007,3993,8797,4153,4179,4795,3562,2828,4406,837,37541
SED23101,3629,7926,2796,2493,3851,2765,828,1864,411,26563
SED23205,2927,5021,4343,3292,3351,3020,1670,2651,445,26724
SED23308,3304,7187,4070,3826,3559,2913,1511,2819,428,29625
SED23402,4338,5843,5885,3440,5090,3575,2097,3020,468,33748
SED23502,3608,3338,3586,2888,2510,2149,1605,3148,403,23221
SED23602,4420,3554,3616,2513,2399,2102,1563,3046,391,23604
SED23702,3862,4365,7087,4129,4677,3620,2213,3639,551,34140
SED23806,6112,13964,1853,2855,4203,2972,370,1126,494,33955
SED23901,4328,10453,3138,2869,4203,2529,879,1652,449,30489
SED24006,5675,11429,1802,2385,3765,2886,402,1023,542,29903
SED24105,3044,4886,4077,2958,4025,3167,3124,4487,640,30412
SED24207,3235,5513,4605,3675,5077,3415,4285,4558,826,35195
SED24308,2281,3729,4119,3425,3079,2823,2495,3777,557,26280
SED24408,5720,3829,3218,2698,2554,2206,1480,3082,357,25145
SED24504,4071,5873,4233,3070,3394,2080,1327,2417,403,26875
SED24606,5667,11464,1682,2294,3755,2730,331,1005,530,29451
SED24703,7141,21554,3884,6260,5957,4292,786,3077,885,53839
SED24808,3104,4186,5360,4126,5038,3390,4002,3521,650,33372
SED24904,4459,4007,3388,2862,2805,2757,1886,3618,503,26279
SED25003,3255,5362,4869,3664,5133,3952,2821,3316,556,32927
SED25102,4072,6595,5061,3313,3882,2466,1267,2385,445,29478
SED25205,4687,8097,4156,3200,4776,3238,1133,1785,469,31541
SED25302,4555,6500,3949,3021,3580,3008,753,1894,391,27652
SED25402,2622,4137,4666,3065,3643,2744,2095,3024,502,26503
SED25501,4026,8932,2493,2306,3812,2707,777,1697,489,27241
SED25605,3255,6244,3322,2581,3870,2707,1902,2805,551,27233
SED25704,5074,3579,3749,2859,2705,2663,1826,3843,397,26699
SED25802,4113,4462,4951,3159,3331,2474,2084,3673,521,28768
SED25905,3034,4780,5146,3235,4629,3400,2722,3361,588,30891
SED26005,3796,5755,6048,4133,5629,3935,3612,4366,693,37964
SED26102,3240,4177,4403,2742,2607,2590,937,2367,399,23464
SED26207,3919,6468,3548,2562,4646,3019,1371,1817,555,27902
SED26303,5186,13570,3012,3373,4166,2618,810,1591,503,34822
SED26406,4442,10651,3503,3150,4615,3345,1052,2134,504,33396
SED26504,3947,3743,3505,2797,2517,2328,1713,3373,414,24335
SED26603,4134,9370,4553,3498,5032,3148,1771,2970,585,35060
SED26708,5761,3752,3923,2849,2506,2208,1859,4100,503,27478
SED26806,7856,17561,3060,3721,5337,3711,466,1320,737,43777
SED26903,3038,7224,4043,3368,4157,2868,1723,3148,558,30117
SED27003,7296,18028,3052,3731,4642,3091,625,1491,739,42686
SED27101,3891,8745,3849,3076,4448,2823,1105,2129,427,30488
SED27208,4157,3290,3477,3127,2496,2182,1700,3786,425,24644
SED27305,3886,5970,4224,2739,4770,3522,1518,2146,433,29211
SED27406,5809,9006,2542,2613,3970,2845,525,1092,399,28813
SED27504,4228,4832,3992,3084,3378,2977,2038,4213,498,29239
SED27608,4239,8342,4726,4078,4125,3684,1286,2507,467,33450
SED27708,4042,4808,4046,3130,3014,2923,2245,3957,451,28611
SED27807,1953,3775,4187,3236,3388,2661,3597,5077,778,28639
SED27907,3127,4617,4620,3433,4920,3079,2369,2529,475,29178
SED28007,3992,5849,5186,3556,6023,4222,3305,3615,677,36432
SED28107,4018,7694,5438,5147,6624,4176,5456,4280,867,43703
SED28203,2110,3683,4079,2928,3527,2856,3092,3748,581,26597
SED28301,4885,8066,3186,2656,4140,3079,690,1534,445,28675
SED28408,2756,5833,3457,3080,3172,2712,1243,2544,377,25176
SED28507,2865,4498,4482,3620,4786,3132,3601,3448,531,30961
SED28607,6228,11104,3660,3057,4794,2871,1340,1987,582,35618
SED28704,4847,7050,6863,4528,6141,3989,2486,3048,642,39601
SED28803,3907,5624,5810,4390,5792,4121,4264,4275,780,38954
SED29494,178,405,297,277,182,134,200,307,57,2033
SED29797,0,4,7,0,0,0,0,3,0,23
SED30001,3860,4879,5832,3806,5000,3745,2575,3695,563,33958
SED30002,2799,4790,3558,2730,4330,2689,2518,2495,473,26390
SED30003,3743,8610,2144,2813,3418,1882,626,1071,313,24631
SED30004,2791,5754,2505,2204,3668,2199,937,1486,354,21888
SED30005,3695,6848,4292,3962,3947,3107,1332,2394,459,30028
SED30006,3426,3502,4370,2747,3410,2214,2233,3361,361,25622
SED30007,5182,12712,2782,3594,4381,2867,615,2498,571,35206
SED30008,2756,3796,3157,2655,3138,2801,1113,2129,382,21937
SED30009,2815,5151,3355,2658,3170,2667,915,1942,339,23007
SED30010,4803,9154,2875,2470,4298,2414,878,1648,448,28995
SED30011,1373,2252,2184,1982,1903,1811,1196,2605,248,15549
SED30012,3148,5126,4810,4273,5067,3248,3787,4443,680,34584
SED30013,2951,2810,3189,2841,2505,1717,2437,3255,329,22036
SED30014,3121,5294,3788,3126,3192,2964,983,2152,383,24998
SED30015,2602,2877,2689,1988,2070,1760,1619,2493,279,18376
SED30016,2709,5123,3640,3943,3317,2884,1398,2820,498,26332
SED30017,4096,1828,2428,1678,1744,1236,2222,3271,343,18835
SED30018,2348,3624,3587,2611,2708,2392,1277,2433,355,21329
SED30019,2420,3729,4164,2633,3931,2409,1807,2601,376,24073
SED30020,4016,7379,2859,2345,4442,2576,1022,1714,399,26771
SED30021,4543,8915,2697,2629,4452,2539,976,1718,467,28940
SED30022,3469,4718,3396,2558,3862,2420,1226,2135,291,24076
SED30023,3978,3655,4436,2499,3496,2380,2264,3674,368,26761
SED30024,2614,2748,3015,2788,2156,1464,1611,2931,437,19778
SED30025,4296,4845,4961,3463,4634,3750,2392,3535,581,32455
SED30026,2573,4497,3553,2880,2890,2540,981,2124,399,22435
SED30027,2959,2742,3091,2014,2010,1522,2281,2605,299,19520
SED30028,3162,6021,3173,2891,4030,2263,862,1443,325,24170
SED30029,3084,6295,2946,2582,3689,1822,698,1355,320,22789
SED30030,3076,4271,4734,3360,3974,3265,1824,3170,521,28187
SED30031,2242,3452,5434,2271,2727,2116,3110,3152,425,24923
