SOS_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
SOS10,68,469,310,5757,1662,1024,1081,552,166,11090,43,175,485,3116,2037,3374,5268,5488,2318,22299,114,457,553,1662,757,370,240,71,8,4227,217,1293,3190,10648,3584,2477,1262,626,119,23415,99,405,1090,8308,6751,5576,4411,1754,432,28827,99,448,1636,5319,1934,2119,1541,537,106,13726,3,10,32,207,360,1275,2358,1281,322,5839,0,31,103,678,473,584,413,191,60,2544,17,84,497,1396,615,375,252,131,39,3401,89,465,3668,12022,540,224,92,14,0,17114,29,176,180,875,607,764,1496,873,417,5410,554,3371,5802,17005,8501,6631,3321,1178,341,46696,3,36,62,637,463,348,480,268,64,2365,346,1136,2369,7542,1580,804,266,61,14,14114,7,40,99,554,511,330,122,97,30,1788,282,1849,3150,13940,5505,4461,2045,469,136,31830,20,51,78,1660,515,1239,861,406,364,5205,29,258,294,2129,1963,2150,2142,1284,423,10665,176,739,807,1737,690,666,421,174,36,5445,131,886,1756,6399,3625,2662,1688,677,204,18025
SOS11,14,80,27,362,170,142,257,129,41,1216,0,18,30,136,139,277,556,540,225,1917,6,39,29,75,22,14,20,10,0,218,6,28,160,358,32,20,10,3,0,612,3,5,14,77,73,59,57,30,3,314,29,34,68,263,131,104,31,14,5,681,3,0,3,24,28,125,249,103,21,559,0,3,3,35,27,35,44,13,4,160,3,20,59,171,47,11,7,12,3,340,4,64,66,480,32,10,3,0,0,657,4,25,16,107,105,323,771,445,151,1946,58,386,562,2190,1597,1581,1211,494,124,8201,0,10,12,67,69,68,154,84,16,473,16,63,46,290,59,31,14,8,0,525,4,23,25,155,136,79,19,14,3,459,51,380,294,967,244,90,42,14,3,2077,0,4,3,60,22,93,99,57,57,403,10,53,58,246,359,552,827,480,147,2737,13,30,9,63,64,37,22,13,0,243,18,192,232,618,416,292,260,117,26,2163
SOS12,0,9,0,44,19,22,23,14,5,137,0,3,0,14,19,39,47,46,12,173,0,3,0,6,3,3,0,0,0,20,0,0,5,9,6,3,0,0,0,23,0,0,4,8,15,4,3,3,0,37,0,0,3,30,14,3,10,0,0,67,0,0,0,0,4,20,43,12,0,80,0,0,0,0,0,4,3,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,10,0,0,4,7,18,40,94,46,12,220,0,34,32,201,178,195,143,41,5,836,0,3,0,10,4,8,24,8,3,57,0,0,0,7,3,0,0,0,0,16,0,0,0,10,15,12,0,3,0,39,0,10,8,27,9,3,8,0,0,70,0,0,0,7,3,15,15,3,5,45,0,9,0,17,44,67,74,38,10,254,0,3,0,3,4,5,0,0,0,22,0,12,18,32,46,32,26,6,0,166
SOS13,0,18,14,142,92,83,128,48,9,530,0,7,9,48,87,283,496,308,92,1340,3,19,12,20,14,14,7,3,0,86,0,6,22,41,21,20,7,0,0,131,0,0,12,99,120,93,66,26,4,421,0,3,6,48,47,44,31,12,0,203,0,0,4,26,59,203,372,128,15,806,0,0,0,4,4,14,13,0,0,36,0,0,0,6,8,0,4,3,0,23,0,3,3,17,4,0,0,0,0,29,0,11,14,46,76,203,368,172,38,933,17,78,131,614,671,763,510,165,21,2970,0,0,0,42,43,32,50,33,3,198,3,3,3,25,9,11,8,0,0,57,0,0,3,57,47,40,9,4,0,161,9,55,35,85,50,10,7,3,0,262,0,3,0,30,21,40,33,15,6,139,0,9,15,77,127,189,255,95,26,801,0,9,4,10,26,27,7,6,0,88,0,47,93,190,177,160,121,32,7,835
SOS17,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,6,11,3,0,3,0,0,31,0,0,5,17,3,5,3,0,0,35,0,0,0,0,0,0,0,0,0,6,0,0,4,7,0,0,0,0,0,18,0,0,0,13,8,0,3,0,0,32,0,0,0,7,3,3,0,0,0,17,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,5,10,0,0,0,0,0,13,0,0,3,6,3,7,14,0,0,27,3,3,24,54,38,33,21,4,0,181,0,0,4,3,0,0,0,0,0,11,4,0,4,16,0,0,0,0,0,23,0,0,0,3,3,0,0,0,0,4,0,0,6,13,5,5,0,0,0,33,0,0,0,3,0,0,4,0,0,6,0,0,4,3,0,4,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,5,16,3,5,5,0,0,40
SOS20,58,328,204,3236,877,715,664,440,200,6714,38,214,455,2609,2395,5118,8396,8071,3309,30595,69,319,426,980,336,169,124,26,6,2444,81,501,1233,3501,692,285,105,42,6,6442,51,158,370,2742,1958,1510,1093,395,99,8371,303,1214,4363,8560,2560,2741,1668,565,123,22092,6,23,55,288,532,1737,2720,1527,299,7181,4,148,402,2030,850,994,652,321,102,5508,29,380,997,2480,668,292,158,106,30,5141,26,168,1110,3432,155,75,32,4,0,5005,27,155,120,696,506,1058,1888,1134,476,6058,697,4025,5189,15494,5698,3969,1846,656,180,37761,4,53,56,525,361,381,447,268,85,2189,331,1089,2366,7640,820,345,170,31,11,12802,9,33,66,381,244,89,38,7,6,865,203,1372,2489,7790,3136,1934,791,175,56,17940,11,37,93,1286,622,1424,1137,519,544,5670,25,235,313,1925,1729,1909,1942,1100,395,9577,180,844,1493,2386,834,683,364,136,22,6934,67,653,1369,4212,2256,1515,986,381,120,11553
SOS21,3,58,22,254,135,151,164,121,55,959,0,15,27,102,181,462,880,717,311,2690,5,16,21,53,19,12,5,3,0,139,3,29,78,149,10,7,5,0,0,285,0,0,12,56,36,28,16,8,4,151,21,52,116,408,123,101,42,14,3,878,3,13,21,55,82,290,434,160,30,1080,0,16,10,68,33,25,31,3,0,178,0,20,69,217,61,35,15,14,3,430,4,18,39,153,7,3,0,0,0,227,3,5,19,107,126,390,969,580,170,2374,95,475,611,1674,1012,793,577,207,50,5491,0,6,3,51,68,94,160,74,17,467,13,65,52,283,56,28,3,3,3,504,3,7,14,52,56,21,9,6,0,166,50,289,304,712,231,91,35,11,0,1714,0,7,8,76,28,90,70,41,49,376,5,36,44,243,273,511,667,367,113,2265,9,27,35,78,44,28,20,5,0,246,12,103,156,384,247,160,117,42,6,1225
SOS22,0,3,3,13,12,16,11,11,3,78,0,0,3,6,10,33,76,30,9,166,0,0,4,0,4,0,0,0,0,12,0,0,0,8,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,7,0,0,0,6,8,3,3,0,0,24,0,0,0,4,4,27,37,9,0,88,0,0,0,3,4,0,3,0,0,12,0,0,0,0,0,3,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,0,3,16,19,70,138,57,13,312,3,17,29,132,103,117,106,33,8,544,0,3,0,3,12,14,26,9,0,63,0,0,3,3,0,0,0,0,0,8,0,0,0,0,7,3,0,0,0,9,5,19,12,34,8,4,0,0,0,90,0,0,0,3,0,10,9,3,4,29,0,0,0,15,26,65,79,35,11,239,0,0,0,6,6,4,0,0,0,14,0,5,10,16,12,19,21,3,0,83
SOS23,0,15,9,73,69,63,76,47,15,377,0,8,5,48,104,290,566,315,96,1434,0,8,6,9,10,3,3,0,0,37,0,4,11,11,3,6,0,0,0,30,0,0,0,38,19,26,12,0,4,99,0,5,32,85,38,34,13,10,0,218,0,0,3,18,36,164,240,69,4,535,0,0,3,13,23,21,6,3,0,74,0,0,4,5,3,0,0,3,0,16,0,3,0,17,0,0,0,0,0,22,4,11,21,74,101,276,527,175,38,1221,22,116,197,662,592,603,303,85,12,2585,0,0,4,17,36,36,58,21,3,175,0,0,0,29,3,6,0,0,0,38,0,0,0,22,35,14,3,3,0,74,21,62,54,192,44,18,4,0,0,401,0,0,0,21,11,35,47,11,5,141,0,3,15,72,105,184,227,86,17,717,3,9,9,14,25,17,3,0,0,81,0,33,41,117,106,65,49,17,0,423
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,10,0,0,0,0,0,14,0,0,8,10,0,3,6,0,0,34,0,0,0,3,0,0,0,0,0,3,0,0,4,12,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,5,0,0,5,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,7,0,3,9,0,0,17,0,3,17,51,19,15,8,0,0,123,0,0,0,0,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,3,0,0,0,13,3,0,0,0,0,23,0,0,0,5,0,0,0,0,0,8,0,0,3,3,0,3,4,0,0,7,0,0,3,4,0,0,0,0,0,8,0,0,0,9,3,0,3,0,0,10
SOS30,53,356,247,2212,688,466,520,265,126,4933,17,90,198,868,425,689,1235,1132,491,5148,81,448,613,1372,492,248,187,42,18,3502,138,572,1507,4392,825,341,135,66,3,7984,5,15,26,214,173,134,120,46,11,743,100,293,1058,2126,938,786,479,197,30,6005,0,11,9,42,60,184,298,160,38,802,0,23,36,185,115,112,108,40,15,631,3,71,220,668,178,130,78,42,6,1404,16,154,531,1596,71,32,7,4,0,2407,15,103,130,597,547,779,1494,837,298,4798,932,7376,10580,28032,13762,10975,6457,2287,580,80992,9,48,66,411,305,271,370,180,39,1697,66,256,373,1418,233,107,48,18,0,2520,45,449,799,1770,1261,768,273,161,27,5549,141,1045,1560,4086,1630,759,267,90,21,9593,0,28,48,566,223,426,284,160,114,1850,27,325,397,1558,1619,1641,1614,970,298,8456,55,249,550,1023,351,302,148,58,3,2748,114,1285,2609,5482,3119,1881,1003,392,90,15977
SOS31,5,49,34,230,97,87,96,69,25,695,3,6,41,130,35,116,286,377,190,1186,0,23,56,99,15,5,12,0,0,213,10,24,126,433,16,3,8,4,0,614,0,0,0,11,7,9,4,3,0,32,0,25,26,169,95,56,14,11,0,401,0,0,4,7,15,53,123,49,13,267,0,7,3,20,14,15,20,4,6,87,0,3,32,155,24,12,6,11,3,245,0,12,14,177,12,10,0,0,0,225,0,11,12,92,109,220,466,273,86,1270,87,776,999,3390,2185,2135,1566,519,93,11749,0,5,3,44,37,37,65,55,6,256,10,26,10,113,22,6,3,0,0,193,8,67,72,283,225,120,40,12,3,828,74,605,427,1251,399,92,28,11,4,2878,0,0,0,45,18,32,30,27,19,176,0,44,51,193,234,330,449,228,61,1585,0,18,11,52,36,27,14,3,0,159,8,277,412,784,582,288,155,69,14,2585
SOS32,0,3,3,22,10,14,21,9,0,94,4,0,7,15,8,29,61,55,22,195,3,4,6,15,3,0,3,0,0,34,0,0,0,7,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,8,0,3,0,36,0,0,0,0,3,9,19,14,3,48,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,13,0,3,5,18,20,52,131,48,4,276,3,75,107,371,340,415,359,87,11,1780,0,0,0,0,3,13,13,13,0,46,0,0,0,10,0,0,3,0,0,15,4,10,11,56,46,49,12,3,0,203,11,26,19,48,21,4,3,0,0,124,0,0,0,5,3,3,14,4,6,39,0,0,8,20,31,66,71,30,7,236,0,0,0,3,10,6,4,0,0,18,0,14,21,63,55,40,30,13,0,240
SOS33,3,13,16,95,55,42,67,18,9,312,0,0,12,45,34,84,204,158,67,606,3,0,33,34,5,7,3,3,0,95,0,17,32,63,7,3,0,0,0,126,0,0,0,3,6,3,5,0,0,23,0,0,14,43,29,40,11,7,0,156,0,0,0,6,17,45,79,29,3,185,0,0,0,4,8,8,15,0,0,30,0,0,0,4,0,3,0,0,0,14,0,0,0,14,3,0,0,0,0,22,0,14,15,66,96,189,321,123,28,843,12,167,263,1135,1196,1249,771,204,33,5025,0,4,0,22,18,22,43,18,0,131,3,0,0,15,0,3,0,0,0,25,3,18,23,113,108,97,24,8,0,392,11,57,45,176,50,17,13,4,0,369,0,0,0,22,11,21,24,9,3,91,3,16,10,59,115,138,204,67,10,617,0,3,17,17,20,11,10,3,0,76,11,73,132,292,251,140,106,30,3,1049
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,6,12,0,0,0,0,0,15,0,0,19,19,3,0,0,0,0,43,0,0,4,5,0,0,0,0,0,11,0,0,3,18,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,0,17,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,6,0,0,4,9,4,5,23,3,0,46,0,5,15,80,46,74,67,10,0,300,0,0,0,4,0,0,3,0,0,9,0,0,0,6,0,0,0,0,0,9,0,0,0,7,7,3,0,0,0,23,3,0,4,6,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,6,0,0,3,13,3,11,13,4,0,46,0,0,0,0,0,0,0,0,0,7,0,0,3,17,10,0,3,0,0,33
SOS40,12,89,56,404,184,208,205,142,63,1362,10,34,82,360,543,1347,2309,2472,956,8114,21,49,102,152,49,22,20,6,0,424,21,222,354,708,211,53,14,7,0,1587,15,21,49,181,124,160,111,62,23,742,53,222,757,1195,366,271,306,90,23,3282,0,0,0,17,41,133,245,117,37,591,0,4,4,36,9,7,12,5,5,90,3,77,134,337,75,31,10,9,0,678,32,211,319,799,32,17,5,4,0,1419,3,28,42,143,157,415,763,357,127,2037,38,266,382,1497,850,798,489,155,36,4511,0,16,20,91,131,153,195,99,29,743,86,337,296,912,140,41,5,13,0,1828,3,15,17,129,107,43,13,8,7,343,55,431,627,1609,576,259,79,36,9,3684,0,22,39,458,243,538,349,163,154,1967,14,109,178,546,780,1031,900,564,198,4311,24,114,208,380,116,108,90,23,8,1070,21,232,435,769,467,246,161,57,14,2401
SOS41,0,6,7,41,29,32,45,34,7,202,0,8,5,27,33,83,191,175,72,598,0,15,0,12,3,4,4,0,0,30,0,3,20,34,3,0,0,0,0,67,0,0,0,9,7,4,5,0,0,29,0,17,14,59,31,26,3,5,0,156,0,0,0,0,3,24,24,12,0,54,0,0,0,4,0,3,0,0,0,7,0,6,24,57,20,9,6,3,0,116,0,0,0,11,3,0,0,0,0,11,0,7,4,30,48,147,306,134,40,705,13,79,101,351,278,246,143,46,10,1259,0,3,8,13,22,46,45,34,3,182,3,15,7,61,8,3,0,0,0,104,0,3,3,20,20,14,3,0,0,64,10,155,120,330,106,24,3,0,0,743,0,3,4,22,12,29,15,12,17,121,0,14,16,80,188,241,253,158,54,1006,0,0,3,15,9,3,11,3,0,40,0,61,82,159,116,61,34,16,6,546
