SOS_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
SOS10,264,30664,..,10960,2782,13750,149,13899,..,4780,445,5231,73,5300,..,8148,1857,10010,95,10106,..,6347,824,7171,66,7240,..,8437,1659,10102,64,10161,..,7494,607,8106,174,8282,..,8547,1952,10499,102,10598,..,12364,370,12731,105,12840,..,13628,1721,15348,116,15464,..,23434,750,24182,246,24421,..,2792,169,2955,20,2980,..,52214,3001,55215,493,55706,..,26973,4144,31120,320,31433,..,12174,1339,13517,91,13606,..,10763,3544,14308,135,14440,..,8175,2227,10405,106,10512,..,33653,19871,53529,297,53826,..,87280,22015,109302,2156,111459,..,732178,181272,913454,8717,922173,..,6628,1500,8122,140943,149068,1625278,738804,182773,921576,149660,2696512,3224696,..,..,..,..,3224696,..,5519,83,5599,39,5637,..,162998,31421,194417,1820,196232,..,583,24,605,33,636,..,101469,37561,139032,691,139729,..,166603,66184,232789,1276,234066,..,12541,5077,17617,94,17713,..,280620,108823,389445,2066,391508,..,16632,2598,19234,183,19416,..,6099,152,6249,79,6320,..,19714,821,20535,188,20716,..,16669,507,17170,198,17374
SOS11,3,497,..,147,17,168,0,165,..,292,8,295,7,300,..,167,52,219,0,223,..,430,39,469,7,480,..,371,40,411,0,415,..,239,22,260,4,264,..,239,37,281,3,284,..,1055,24,1082,12,1094,..,350,24,371,0,374,..,1682,52,1725,32,1756,..,322,15,340,6,348,..,3406,118,3521,45,3566,..,1292,112,1406,12,1419,..,254,25,272,0,279,..,921,207,1122,17,1138,..,114,43,158,0,154,..,555,191,750,15,759,..,5820,1235,7055,195,7247,..,30579,5106,35689,622,36308,..,2042,129,2173,49820,51994,662454,32622,5237,37857,50444,750755,1281567,..,..,..,..,1281567,..,1462,24,1485,15,1497,..,1987,291,2276,39,2318,..,808,42,850,33,887,..,1681,748,2428,41,2472,..,2738,1520,4255,59,4311,..,212,98,312,5,322,..,4637,2364,7001,103,7100,..,823,98,926,15,938,..,1417,27,1446,16,1465,..,1868,92,1959,25,1979,..,3251,106,3358,59,3418
SOS12,0,22,..,17,0,16,0,17,..,37,0,37,0,37,..,7,3,7,0,7,..,45,0,42,0,42,..,27,3,32,0,32,..,13,0,13,0,13,..,24,3,28,0,28,..,60,0,68,0,68,..,32,0,34,0,34,..,90,0,93,0,93,..,9,0,9,0,9,..,198,5,203,0,205,..,134,5,140,0,140,..,11,0,15,0,15,..,52,19,69,0,74,..,4,0,4,0,4,..,36,0,36,0,37,..,333,58,395,13,409,..,2160,226,2388,46,2432,..,197,10,206,5051,5254,66785,2358,235,2594,5094,74476,133384,..,..,..,..,133384,..,88,3,89,0,89,..,148,8,156,0,164,..,135,11,146,8,151,..,75,53,127,0,130,..,159,72,229,7,233,..,13,0,12,0,12,..,245,128,368,7,379,..,67,4,73,0,72,..,163,3,170,3,170,..,192,6,198,0,199,..,384,15,396,6,403
SOS13,0,92,..,73,11,83,0,83,..,697,45,740,9,749,..,40,5,46,0,46,..,150,12,162,0,162,..,138,22,154,0,154,..,35,4,41,0,37,..,186,24,204,7,211,..,146,3,150,3,156,..,70,7,77,3,78,..,274,11,293,4,290,..,55,0,53,0,53,..,551,28,577,4,581,..,473,35,512,5,514,..,33,0,32,0,33,..,220,45,260,7,268,..,64,3,69,0,72,..,137,32,167,10,174,..,1263,190,1458,43,1497,..,10382,1343,11726,176,11901,..,661,43,707,21871,22583,232822,11044,1387,12432,22047,267300,479498,..,..,..,..,479498,..,498,5,507,0,503,..,1749,180,1933,15,1946,..,211,13,225,19,240,..,522,385,909,13,919,..,712,278,992,12,1002,..,74,30,102,0,102,..,1304,689,2001,27,2024,..,639,60,698,8,712,..,683,15,698,11,708,..,722,26,747,7,756,..,1729,28,1759,22,1783
SOS17,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,5,11,0,11,..,3,0,3,0,3,..,28,26,54,0,55,..,0,0,3,30,33,154,30,26,58,27,239,279,..,..,..,..,279,..,0,0,0,0,0,..,3,3,3,0,3,..,0,0,0,0,0,..,3,3,4,0,4,..,7,19,22,0,22,..,0,3,5,0,5,..,14,22,31,0,31,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
SOS19,0,20,..,3,0,3,0,3,..,6,0,6,0,6,..,6,0,6,0,6,..,4,0,4,0,4,..,11,0,11,0,11,..,18,0,18,0,18,..,3,0,3,0,3,..,17,0,17,0,17,..,10,0,13,0,13,..,16,0,16,0,16,..,8,0,8,0,8,..,53,0,52,0,52,..,41,3,43,0,43,..,3,0,3,0,3,..,11,7,18,0,18,..,6,0,6,0,6,..,27,14,38,0,38,..,97,26,123,0,124,..,670,146,819,9,821,..,13,3,21,1058,1072,3038,688,150,836,1061,4939,7212,..,..,..,..,7212,..,5,0,5,0,5,..,122,33,154,0,155,..,16,3,19,0,19,..,66,22,84,0,87,..,210,94,307,0,307,..,7,7,14,0,19,..,285,121,406,3,405,..,12,0,12,0,12,..,23,0,23,0,23,..,76,8,86,4,88,..,57,0,57,0,57
SOS20,64,7886,..,11580,2718,14303,145,14445,..,7017,615,7624,113,7733,..,5906,1465,7370,65,7435,..,6764,1105,7869,77,7942,..,7637,1785,9426,82,9510,..,4960,336,5298,101,5400,..,6591,1512,8103,84,8184,..,8673,245,8924,81,9003,..,7996,594,8591,57,8647,..,11383,336,11722,135,11854,..,3527,204,3732,29,3760,..,31586,1382,32961,300,33264,..,14979,2068,17049,147,17194,..,10330,1066,11399,100,11496,..,5469,1247,6717,55,6773,..,11660,3278,14946,151,15091,..,34720,19103,53827,404,54228,..,81362,24044,105402,1978,107388,..,595670,141934,737601,7464,745057,..,5431,1374,6808,115519,122324,1354180,601097,143304,744405,122984,2221565,2665680,..,..,..,..,2665680,..,4357,59,4410,24,4438,..,63093,11972,75066,816,75877,..,249,9,260,3,263,..,57673,18235,75909,444,76356,..,137891,46674,184566,1022,185587,..,13520,5165,18685,106,18791,..,209085,70075,279157,1568,280727,..,15786,2597,18384,223,18602,..,5916,170,6080,80,6159,..,16643,659,17304,150,17453,..,15157,439,15598,183,15783
SOS21,4,257,..,291,41,331,7,343,..,795,54,849,9,857,..,148,32,183,0,183,..,447,60,505,4,515,..,222,27,253,0,255,..,474,28,498,9,514,..,355,52,406,5,409,..,1063,38,1101,9,1112,..,338,21,357,9,366,..,1310,37,1342,8,1353,..,336,37,378,3,381,..,3046,134,3175,33,3207,..,851,96,945,11,953,..,271,24,295,3,299,..,517,124,643,16,652,..,523,166,689,5,693,..,543,327,872,13,887,..,5897,1779,7673,202,7877,..,30451,5985,36431,580,37007,..,1437,134,1570,35710,37281,469836,31890,6120,38006,36286,544123,908417,..,..,..,..,908417,..,763,14,781,5,784,..,2516,585,3104,43,3150,..,171,4,173,11,186,..,1012,371,1379,15,1393,..,3143,1641,4786,48,4837,..,328,136,465,0,463,..,4476,2149,6629,63,6697,..,1124,143,1267,6,1275,..,1446,26,1475,20,1493,..,1168,50,1216,23,1237,..,2350,60,2412,29,2445
SOS22,0,13,..,19,3,21,0,21,..,36,0,36,0,39,..,3,0,3,0,3,..,23,3,26,0,23,..,19,0,22,0,24,..,8,0,13,0,13,..,23,3,21,0,21,..,64,3,72,4,74,..,22,4,28,0,28,..,51,3,56,0,56,..,23,0,29,0,29,..,164,16,174,4,184,..,80,8,89,3,91,..,5,0,5,0,5,..,64,7,70,0,70,..,15,6,18,0,18,..,9,9,19,0,19,..,286,35,323,12,329,..,1533,188,1726,38,1757,..,141,7,142,3721,3867,43801,1672,194,1869,3758,49424,87699,..,..,..,..,87699,..,42,0,44,0,44,..,56,3,65,3,63,..,8,0,8,0,8,..,41,8,46,0,46,..,159,54,215,4,218,..,7,10,15,0,15,..,208,69,274,4,281,..,76,8,80,0,81,..,135,3,138,3,141,..,109,3,112,0,112,..,253,12,259,3,265
SOS23,0,34,..,180,25,207,3,206,..,322,12,340,6,345,..,12,0,12,0,12,..,170,7,180,0,186,..,76,13,90,0,93,..,50,3,54,0,54,..,107,13,113,0,117,..,240,10,248,0,253,..,67,3,71,0,70,..,212,4,217,3,224,..,63,0,63,0,63,..,580,20,603,3,612,..,215,22,242,5,245,..,55,8,64,0,64,..,161,24,184,0,184,..,120,28,149,0,148,..,115,63,175,4,179,..,1195,191,1384,32,1417,..,8402,1029,9424,144,9565,..,430,30,454,14353,14809,175812,8827,1054,9882,14496,200186,360793,..,..,..,..,360793,..,286,3,291,0,295,..,351,30,382,18,397,..,61,4,68,0,63,..,175,45,214,3,218,..,659,266,922,15,944,..,32,11,44,0,46,..,865,316,1181,22,1201,..,476,66,539,3,542,..,756,23,782,4,785,..,456,21,478,0,480,..,1147,26,1172,11,1187
SOS27,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,0,0,0,4,0,4,18,..,..,..,..,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
SOS29,0,17,..,4,0,4,0,4,..,0,0,4,0,4,..,4,3,9,0,9,..,3,0,3,0,3,..,9,3,15,0,15,..,4,0,8,0,8,..,3,0,3,0,3,..,6,0,6,0,10,..,5,0,5,0,5,..,9,0,9,0,9,..,0,0,0,0,0,..,20,0,20,0,24,..,22,4,27,0,27,..,3,0,4,0,4,..,6,0,5,0,5,..,11,3,13,0,13,..,39,16,50,3,53,..,100,46,146,3,147,..,507,178,686,9,692,..,11,0,17,699,709,1835,519,181,699,704,3238,4201,..,..,..,..,4201,..,3,0,3,0,3,..,50,47,98,0,98,..,0,4,7,0,7,..,47,16,62,0,62,..,136,76,211,3,213,..,11,9,14,0,14,..,191,98,290,3,292,..,5,0,5,0,5,..,17,0,17,0,17,..,25,0,25,0,25,..,28,4,32,0,32
SOS30,63,9467,..,554,72,628,11,636,..,415,12,423,14,438,..,2538,515,3053,23,3070,..,2334,222,2555,35,2585,..,2795,377,3172,23,3197,..,6772,496,7270,127,7400,..,1933,329,2261,18,2280,..,5000,142,5142,49,5188,..,2566,236,2808,32,2835,..,7968,222,8192,77,8268,..,1927,70,1993,16,2012,..,17455,678,18135,174,18307,..,8792,1167,9964,80,10040,..,2064,193,2257,17,2270,..,3737,789,4528,38,4564,..,702,113,815,0,820,..,8413,4302,12713,77,12789,..,37442,8152,45592,993,46584,..,210515,40170,250685,2697,253380,..,4036,521,4551,96261,100809,1306768,214550,40689,255234,98961,1660962,2567809,..,..,..,..,2567809,..,8824,122,8949,57,9001,..,10402,2381,12780,124,12904,..,2197,149,2346,92,2442,..,18503,5102,23600,139,23734,..,49810,15249,65065,331,65391,..,2885,1116,3995,28,4019,..,71191,21465,92659,491,93151,..,3103,404,3506,30,3536,..,4993,127,5117,43,5162,..,9329,479,9809,86,9893,..,11583,363,11948,120,12065
SOS31,3,494,..,22,0,18,0,18,..,157,13,170,6,174,..,91,5,98,0,98,..,197,16,220,3,224,..,208,19,228,4,230,..,155,3,153,4,160,..,74,3,79,6,85,..,1482,86,1569,24,1592,..,241,29,270,3,276,..,2046,106,2148,31,2180,..,345,22,372,4,375,..,4121,236,4360,64,4423,..,517,57,572,8,587,..,223,27,253,0,254,..,615,106,719,10,725,..,68,19,88,0,88,..,381,288,670,6,679,..,4260,724,4987,142,5124,..,22443,3520,25966,486,26453,..,1203,114,1319,30446,31759,379059,23641,3638,27280,30932,437270,746705,..,..,..,..,746705,..,2422,39,2466,17,2480,..,463,103,563,11,571,..,3381,342,3724,196,3920,..,602,237,837,13,851,..,1777,1099,2873,36,2903,..,99,74,174,0,176,..,2478,1404,3883,51,3934,..,224,23,249,7,249,..,958,28,986,9,998,..,1085,94,1181,8,1190,..,2215,78,2293,34,2326
SOS32,0,14,..,0,0,0,0,0,..,23,0,23,3,19,..,3,0,3,0,3,..,24,0,24,0,24,..,28,3,31,0,31,..,9,0,9,0,9,..,8,3,7,0,13,..,97,3,102,3,107,..,27,3,33,0,35,..,141,4,144,3,144,..,26,0,27,3,31,..,285,11,302,12,311,..,54,5,58,0,58,..,5,0,5,0,5,..,79,14,94,0,98,..,7,0,8,0,8,..,25,9,31,0,31,..,805,140,944,20,963,..,5131,597,5731,170,5900,..,213,38,253,5083,5328,59558,5346,632,5983,5247,70783,120382,..,..,..,..,120382,..,184,3,186,0,186,..,21,0,21,0,21,..,5361,677,6038,235,6277,..,31,11,37,3,43,..,110,42,158,3,163,..,5,3,13,0,13,..,148,58,204,5,209,..,34,3,36,0,36,..,191,7,200,3,201,..,147,10,159,3,155,..,429,9,443,3,442
SOS33,0,86,..,8,3,13,0,13,..,87,4,94,0,94,..,20,0,20,0,15,..,82,9,96,0,96,..,110,18,124,0,128,..,41,3,48,0,48,..,33,0,32,0,32,..,264,7,265,3,271,..,73,3,82,3,80,..,281,17,294,3,299,..,64,5,68,0,68,..,681,28,713,8,718,..,246,15,265,3,266,..,30,0,28,0,28,..,212,43,253,0,253,..,15,4,15,0,15,..,115,93,207,3,215,..,1151,193,1339,39,1380,..,6958,875,7832,153,7990,..,458,35,489,16113,16604,182027,7411,908,8323,16268,206625,376928,..,..,..,..,376928,..,814,14,828,10,840,..,114,9,130,0,128,..,648,86,739,76,810,..,191,35,231,3,228,..,553,229,777,19,795,..,18,12,35,0,33,..,766,275,1045,18,1062,..,168,18,179,4,182,..,724,10,736,7,744,..,601,27,625,7,635,..,1535,33,1569,12,1577
SOS37,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,8,15,56,15,0,15,8,87,110,..,..,..,..,110,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
SOS39,0,25,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,12,0,12,0,12,..,11,0,11,0,11,..,4,0,6,0,6,..,39,0,41,0,41,..,35,0,35,0,35,..,3,0,7,0,7,..,5,3,9,0,12,..,0,0,0,0,0,..,11,6,23,0,23,..,106,20,130,3,132,..,514,136,650,5,657,..,10,0,10,966,979,3934,528,136,658,978,5572,8697,..,..,..,..,8697,..,13,0,13,0,17,..,18,3,16,0,18,..,28,3,29,0,29,..,29,9,41,0,46,..,130,90,214,0,216,..,8,7,13,0,13,..,167,101,271,3,275,..,3,0,3,0,3,..,43,0,48,0,48,..,99,8,112,0,108,..,72,4,79,0,80
SOS40,16,1848,..,254,35,290,3,291,..,409,25,428,3,436,..,1626,531,2156,13,2171,..,2490,444,2932,21,2951,..,1399,295,1697,12,1709,..,58,3,61,0,58,..,1563,433,1999,16,2012,..,1746,37,1781,17,1798,..,781,110,892,4,896,..,2564,90,2657,29,2682,..,847,40,885,6,892,..,5943,267,6214,54,6269,..,2392,307,2697,28,2726,..,1075,84,1165,12,1171,..,904,210,1110,14,1121,..,218,24,248,3,246,..,6037,3321,9359,53,9411,..,16212,5397,21604,464,22068,..,102858,24451,127312,1358,128670,..,1571,314,1879,26278,28163,439109,104430,24762,129194,27638,595939,860512,..,..,..,..,860512,..,1572,19,1596,14,1614,..,7190,1730,8916,74,8988,..,608,29,639,29,671,..,7223,2098,9316,71,9391,..,21040,6150,27193,139,27333,..,1531,605,2135,11,2143,..,29793,8846,38640,223,38868,..,2332,355,2685,30,2718,..,1800,42,1840,14,1855,..,2067,108,2174,21,2191,..,4538,152,4694,40,4742
