SOS_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOS10,395998,65233,70830,3011,1036,536109,423331,77061,93478,1240,1158,596266,120874,60929,220254,3671,2024,407752,26729,24521,30639,70,155,82121,41590,14549,36890,1251,886,95169,2263,3450,5546,53,139,11447,6000,2414,3820,882,292,13413,3690,1202,2511,122,113,7637,201143,107069,299667,6049,3613,617546,5069,4460,5811,82,253,15665,24189,7830,14783,687,1626,49112,1049729,261652,484573,11070,7681,1814697
SOS11,174968,13415,5177,4135,971,198664,152644,5670,2278,648,576,161815,62614,19415,14975,659,528,98194,14112,4385,3348,128,90,22064,25500,3773,2855,410,345,32879,2087,1582,1066,16,118,4865,4198,629,627,1222,223,6906,2080,407,304,80,55,2924,110590,30186,23181,2518,1357,167829,2636,1739,789,98,167,5429,12430,2258,1768,647,617,17714,453262,53259,33194,8047,3683,551443
SOS12,21481,448,109,705,192,22926,18413,161,68,87,133,18864,3848,401,349,43,32,4672,380,48,102,0,3,531,3290,137,122,66,65,3677,387,54,96,0,3,544,620,36,55,175,47,931,327,16,24,20,7,395,8857,680,750,302,153,10745,260,103,7,20,58,446,1459,71,82,81,86,1782,50470,1461,1014,1192,620,54761
SOS13,79076,432,166,1570,714,81964,61753,197,54,549,510,63063,8441,177,105,82,106,8916,182,4,3,0,3,192,12780,118,125,338,241,13597,488,18,15,3,40,559,4044,34,28,303,168,4576,2766,21,23,84,56,2953,28701,363,301,820,609,30803,2190,53,58,87,42,2427,4634,37,30,252,212,5158,176355,1079,605,3279,2096,183411
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,371807,64781,29051,1380,772,467782,424875,76346,39095,831,962,542112,134610,81702,116226,1562,1209,335309,12544,10308,14263,102,94,37315,42433,17296,17496,648,484,78351,1960,1891,3008,28,51,6940,4716,1489,1936,1083,136,9361,3598,1350,1255,89,71,6366,199865,114040,154193,3508,2052,473649,5737,4212,2564,66,108,12684,25568,7631,7174,351,694,41411,1027846,267012,232072,6133,4581,1537642
SOS21,125053,7233,2366,1118,401,136170,129634,4034,937,261,346,135208,47838,11985,5257,215,243,65530,8728,3575,1684,3,36,14024,17967,2367,1003,172,172,21677,1294,830,459,3,14,2595,1999,369,223,441,80,3114,1514,300,156,28,25,2026,79330,19426,8778,860,570,108964,1854,647,243,22,50,2814,9695,1566,768,173,254,12453,345566,32896,13088,2442,1617,395606
SOS22,15398,131,73,319,85,16009,13890,68,32,104,79,14177,2313,88,88,27,18,2532,179,77,101,0,3,354,2182,53,45,59,22,2374,50,49,36,3,4,137,280,18,24,126,12,463,209,9,8,4,10,234,5206,294,298,217,68,6085,181,5,15,22,6,225,1085,43,45,50,39,1261,35767,535,465,710,278,37758
SOS23,61161,142,73,892,455,62722,54173,136,51,277,368,55003,4933,80,135,42,59,5248,88,10,25,0,0,121,8171,49,70,115,104,8511,70,0,7,0,6,85,2580,37,21,285,57,2978,1633,9,16,27,28,1713,17476,186,266,471,257,18658,1398,10,0,26,19,1453,3561,15,20,137,124,3861,137775,480,419,1802,1224,141696
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,243996,26613,25574,3257,641,300079,341675,27161,23758,489,728,393804,141740,57830,75956,371,1189,277089,17197,8933,10830,62,106,37122,44016,14406,18638,289,488,77830,1325,1807,2196,16,69,5416,7039,2391,2227,1815,210,13685,2720,883,1115,61,53,4825,214042,86240,110959,2619,2117,415977,3820,4241,2506,73,98,10738,17091,5217,5393,431,1201,29331,820621,149479,168176,6868,4782,1149922
SOS31,85148,3765,1851,2544,305,93609,91338,1893,1065,311,254,94860,45328,9092,7505,224,260,62411,7183,3010,2076,15,32,12322,18097,2031,1714,200,168,22214,946,905,584,7,15,2461,5693,1031,825,897,138,8585,1348,257,204,69,30,1907,78598,16320,12912,1422,642,109896,1508,826,358,76,53,2821,6670,1015,868,471,378,9398,263259,23826,17065,4818,1621,310591
SOS32,17673,187,90,898,227,19071,15880,106,47,135,137,16304,4128,179,321,18,53,4696,2511,232,203,10,26,2990,3608,81,127,90,59,3967,409,78,88,3,4,590,1286,82,131,156,82,1737,427,10,24,21,12,493,12374,659,895,307,241,14474,307,24,6,39,15,393,1461,46,62,176,82,1825,47695,1022,1096,1556,702,52068
SOS33,56167,189,67,1751,472,58643,52409,133,58,500,368,53469,7647,134,120,50,65,8018,369,36,13,4,5,430,10445,66,77,231,167,10975,168,16,17,4,4,212,3497,35,25,458,110,4136,2177,17,20,109,50,2366,24307,299,271,862,395,26131,1502,14,5,79,26,1625,3689,29,33,389,238,4379,138072,658,437,3577,1503,144249
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,113334,15989,5081,449,209,135063,135098,18144,5217,145,376,158975,32213,17334,13623,114,186,63469,9436,11809,3898,14,55,25213,20924,7681,5654,121,157,34534,1678,2357,1158,9,12,5213,2233,739,669,139,32,3814,1070,476,256,12,11,1828,67558,40396,25253,408,447,134070,2279,3596,1229,9,53,7173,6535,2576,1231,46,167,10552,324804,80704,38014,1057,1254,445836
SOS41,36953,2003,406,447,146,39951,38661,1838,167,95,147,40911,12268,2838,1370,29,58,16566,3275,3396,762,0,17,7440,6413,945,342,43,59,7798,505,481,163,0,7,1161,1435,307,124,95,21,1978,481,148,51,15,11,697,24372,8111,2804,181,169,35647,1067,646,131,13,27,1887,2436,572,207,37,61,3316,103488,13174,3716,780,548,121711
SOS42,7915,97,17,211,63,8298,7285,44,16,61,39,7455,1080,50,38,9,12,1191,521,96,49,0,0,679,1602,27,23,40,17,1717,111,61,29,0,0,192,355,16,12,31,17,429,161,12,5,8,6,193,3836,267,159,84,57,4402,128,25,7,11,0,173,482,17,8,33,11,556,19643,457,203,402,175,20886
SOS43,21552,31,9,449,175,22222,18066,22,14,110,117,18326,1563,20,18,8,12,1613,235,25,3,0,0,263,3651,19,10,34,44,3753,190,13,0,0,0,207,1316,17,4,97,55,1492,691,10,4,12,18,731,7641,106,36,148,135,8063,578,11,3,17,6,614,1027,6,3,66,39,1144,48863,174,64,784,478,50362
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,156100,23448,5946,1081,222,186798,239091,30444,8332,227,433,278529,55019,25815,18013,112,273,99238,7450,9026,3087,8,29,19604,33950,11732,5413,113,148,51353,759,1302,735,13,16,2832,3423,1148,614,268,55,5505,1689,655,252,24,16,2640,102300,49679,28115,532,550,181172,2601,2982,1502,27,36,7139,9967,3296,1492,121,265,15144,510058,109846,45387,1986,1495,668779
SOS51,29131,1705,279,1366,139,32626,40087,1267,173,139,114,41781,14814,3109,1115,52,61,19144,5268,2373,497,23,54,8218,8341,994,233,117,54,9739,344,392,203,24,6,963,6483,881,407,431,93,8290,687,131,44,30,19,906,35936,7878,2484,666,295,47262,624,339,154,53,15,1183,2522,536,175,165,101,3493,108296,11726,3266,2388,664,126344
SOS52,6818,62,18,246,60,7199,6609,30,10,57,50,6758,1002,87,37,4,0,1130,2056,223,79,4,13,2374,1786,64,21,34,14,1930,286,79,52,0,3,414,1268,171,52,80,26,1602,233,13,18,13,11,284,6629,639,248,142,70,7730,111,5,3,11,4,141,648,28,19,54,43,792,20815,767,305,506,227,22615
SOS53,19432,44,16,738,202,20436,16536,28,21,238,140,16953,1398,18,3,15,5,1440,777,17,21,9,5,834,3717,17,16,63,40,3855,299,8,8,7,4,330,1787,45,15,154,69,2073,932,14,6,39,16,1005,8914,121,71,282,145,9539,642,12,5,40,22,717,1133,12,15,143,91,1388,46657,216,121,1441,598,49039
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,20590,772,923,78,32,22390,21462,702,793,39,29,23020,5640,1225,2483,42,36,9422,2521,740,921,0,3,4179,4145,729,1324,51,43,6290,318,212,215,0,0,749,373,87,132,15,6,617,224,46,51,3,0,327,13219,3039,5130,113,90,21581,365,125,144,0,0,640,1259,194,233,20,24,1726,56890,4831,7225,240,178,69360
SOS61,25258,1049,527,207,57,27102,24257,511,279,61,50,25155,7809,1528,1276,55,30,10697,3009,1265,554,3,6,4848,5500,768,599,60,33,6961,413,350,196,3,3,966,563,173,123,74,10,940,334,74,47,13,0,472,17626,4163,2801,202,85,24875,405,148,48,10,4,621,1727,304,157,27,31,2250,69279,6181,3814,508,228,80004
SOS62,5068,43,16,51,25,5203,4097,27,7,33,24,4193,783,43,24,3,9,864,122,31,44,0,0,198,917,35,28,22,7,1011,43,27,13,0,0,82,174,14,3,10,0,210,74,3,8,3,0,93,2106,158,120,40,24,2446,63,6,3,3,0,77,325,12,12,15,4,364,11661,248,164,144,77,12287
SOS63,15446,64,9,155,79,15748,13661,29,4,72,86,13850,1226,7,12,5,7,1255,51,7,9,0,0,64,2503,11,12,28,23,2577,53,3,0,0,0,60,698,0,0,17,13,732,419,3,6,13,5,448,4948,31,40,59,52,5132,330,3,3,3,9,345,802,4,10,20,27,855,35178,123,63,309,253,35932
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,4264,458,705,365,17,5810,9208,1021,1870,61,21,12182,3491,1469,4464,36,27,9482,1198,614,680,7,9,2508,1678,637,1225,25,28,3591,104,51,34,0,3,188,1264,145,584,78,34,2101,102,37,71,6,8,220,7832,2956,7053,146,109,18087,92,37,37,12,4,187,612,166,345,79,37,1241,22004,4633,10017,660,188,37506
SOS71,1215,143,22,199,20,1596,2670,512,46,111,8,3350,953,772,261,42,11,2041,1733,485,141,22,11,2391,514,218,80,61,12,883,209,52,15,5,4,284,1058,330,130,81,30,1627,151,53,13,7,3,231,4618,1919,637,216,76,7467,62,25,4,11,3,107,337,124,48,40,29,573,8899,2728,757,574,134,13088
SOS72,310,8,6,93,8,420,380,0,13,11,10,413,55,3,9,0,0,67,1999,163,113,8,6,2299,144,10,8,10,0,171,439,37,20,7,3,502,723,167,347,59,15,1315,139,11,9,9,4,176,3502,395,515,95,27,4531,52,4,3,12,4,76,185,16,37,51,13,298,4425,423,569,269,53,5742
SOS73,1780,3,3,288,56,2124,3186,5,0,75,45,3308,290,0,4,8,3,307,533,24,3,20,3,578,555,7,11,46,28,640,359,10,0,4,21,389,407,13,4,78,11,512,195,4,0,17,10,219,2333,52,21,178,74,2653,160,0,0,36,3,199,315,7,0,104,16,439,7767,66,23,671,193,8721
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,31538,4906,1906,69,50,38470,42524,7688,4421,26,31,54700,7815,6008,9377,9,62,23274,4456,2460,1621,3,21,8559,4894,2434,2688,8,43,10065,228,230,179,3,17,651,1436,382,365,47,13,2239,272,112,70,0,0,463,19106,11625,14303,65,158,45254,333,387,223,0,7,955,1719,661,551,22,24,2977,95222,25270,21404,184,271,142353
SOS82,42,0,0,0,0,45,29,0,0,0,0,29,4,3,0,0,0,12,0,5,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,13,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,87,14,0,0,0,99
SOS83,37,0,0,0,0,39,101,0,0,0,0,103,0,0,0,0,0,4,13,0,0,0,0,13,30,0,0,0,0,31,3,0,0,0,0,3,13,0,0,0,0,13,10,0,0,0,0,10,62,0,0,0,0,69,3,0,0,0,0,3,3,0,0,0,0,3,206,0,0,3,0,214
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,71,14,27,0,3,113,44,9,11,0,0,58,0,0,3,0,0,7,12,26,29,0,0,67,22,10,12,0,0,52,0,0,0,0,0,0,39,16,21,0,0,74,3,0,0,0,0,4,77,54,66,3,0,205,0,0,0,0,0,3,6,4,10,0,0,18,194,85,108,3,10,399
SOS92,120,0,0,0,3,127,103,0,0,0,0,106,41,0,3,3,0,43,37,0,0,0,0,40,57,0,3,3,0,61,4,0,0,0,0,5,47,0,0,0,0,53,18,0,0,0,0,20,206,0,9,3,3,218,35,0,0,3,0,35,21,0,0,3,0,24,478,0,10,12,8,510
SOS93,164,0,0,0,0,164,134,0,0,0,0,135,29,0,0,0,0,29,7,0,0,0,0,7,50,0,0,0,0,50,21,0,0,0,0,21,7,0,0,0,0,7,15,0,0,0,0,15,133,0,0,0,0,133,9,0,0,0,0,13,16,0,0,0,0,16,450,0,0,0,0,454
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0