SOSR_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOSR101,69443,12217,82975,717075,217143,19747,953963,2300917,260860,3515745
SOSR102,22031,6200,28538,157202,70158,7191,234550,515921,59461,809935
SOSR111,2093,505,2622,21676,8561,1064,31298,61053,7763,100115
SOSR112,10515,2564,13209,69007,28271,3350,100631,233772,35116,369524
SOSR113,7762,2269,10099,39395,17867,1790,59048,148831,23212,231091
SOSR114,6215,1890,8178,33614,14446,1569,49632,123357,21036,194026
SOSR115,8878,2450,11444,50992,21248,2444,74678,185742,30472,290897
SOSR121,1594,309,1934,14145,6078,647,20866,48849,6915,76622
SOSR122,806,223,1046,7437,3349,357,11145,28539,4755,44437
SOSR131,5767,1423,7371,83180,35626,3171,121981,277482,50112,449576
SOSR179,6,0,10,39,37,0,79,226,76,374
SOSR199,49,28,78,847,475,45,1373,6811,3361,11545
SOSR201,70572,13413,85254,694787,220944,21928,937661,2248801,249160,3435626
SOSR203,3660,881,4593,24734,10399,1038,36173,82729,10322,129222
SOSR211,4778,1097,5952,45047,18373,2128,65547,136070,18645,220263
SOSR212,3309,889,4248,27033,10537,1191,38761,85659,12931,137351
SOSR213,5946,1474,7501,39914,16471,1932,58319,126565,18138,203020
SOSR214,3915,1151,5132,19701,8641,921,29264,73092,12548,114902
SOSR215,6001,1452,7560,32567,13872,1592,48025,112039,17460,177528
SOSR221,1209,373,1603,8697,3697,413,12805,32142,5133,50085
SOSR222,675,148,847,5417,2347,288,8056,20034,3306,31400
SOSR231,4166,927,5266,63286,27798,2505,93589,210194,35677,339459
SOSR279,0,0,0,5,0,0,5,18,3,25
SOSR299,25,13,38,649,290,14,960,3900,1969,6825
SOSR301,27547,7090,35022,349603,117887,14375,481862,1050110,120049,1652019
SOSR302,8597,2810,11505,89002,28908,3341,121243,280721,40585,442549
SOSR303,11000,2780,13909,105234,36502,4670,146408,337038,47830,531278
SOSR311,4690,1138,5876,36546,13239,1731,51518,123526,18307,193346
SOSR312,887,172,1063,9234,2851,421,12504,27606,4016,44133
SOSR313,2985,854,3875,25613,8810,1119,35542,79669,12366,127579
SOSR314,2582,524,3140,25981,8241,1152,35373,75869,13170,124412
SOSR315,3712,943,4690,38438,13338,2053,53827,122118,21903,197849
SOSR321,1180,254,1457,14634,5567,675,20882,49916,8518,79309
SOSR322,507,119,626,5951,2568,291,8805,23574,4074,36449
SOSR331,3390,825,4307,66422,25196,2582,94202,216235,39289,349730
SOSR379,0,3,4,13,17,0,28,90,21,144
SOSR399,30,11,44,760,474,19,1251,7804,2633,11693
SOSR401,26962,4368,31706,183534,75399,7195,266127,636981,61221,964327
SOSR412,1489,282,1795,11862,4969,560,17393,37818,4616,59823
SOSR413,2532,442,2992,15371,7099,872,23334,54650,7550,85541
SOSR414,762,223,992,3160,1640,172,4982,13518,1633,20125
SOSR415,3064,743,3858,16103,6911,778,23794,58115,7931,89846
SOSR421,864,223,1100,4699,2153,249,7098,17759,2369,27229
SOSR422,363,94,465,2821,1444,188,4460,11149,1629,17234
SOSR431,1267,233,1555,22182,10010,949,33135,72928,10825,116882
SOSR479,0,0,0,0,0,0,0,6,0,3
SOSR499,16,4,22,262,141,16,411,1621,609,2648
SOSR501,26634,6920,33920,317322,106646,12045,436023,962561,118808,1517390
SOSR511,1109,194,1316,12398,4199,555,17157,33943,5063,56161
SOSR512,1875,566,2458,18737,6172,908,25820,56950,9792,92555
SOSR513,249,61,319,9463,2233,473,12170,23086,6034,41292
SOSR514,409,175,589,6294,1937,297,8530,15740,2900,27168
SOSR515,1156,315,1497,13540,4326,707,18576,40546,8655,67783
SOSR521,543,185,742,6473,2700,327,9492,21611,4290,35400
SOSR522,209,52,268,2802,1329,235,4372,9853,2462,16688
SOSR531,1043,215,1288,24908,9551,1201,35662,81712,19927,137303
SOSR579,3,0,3,54,4,0,61,297,72,434
SOSR599,13,3,23,376,169,14,558,3441,1554,5559
SOSR603,3925,668,4651,27025,11755,1331,40116,95488,11059,146664
SOSR611,1714,334,2061,11300,4485,484,16266,40487,5250,62006
SOSR612,553,126,680,3325,1443,150,4922,12406,1559,18887
SOSR613,718,135,872,4511,1830,229,6577,17289,2043,25905
SOSR614,243,51,294,1539,667,73,2284,5963,809,9050
SOSR615,1341,274,1632,9011,3684,394,13087,32106,4247,49448
SOSR621,278,69,363,2783,1155,145,4093,10196,1459,15748
SOSR622,219,61,286,1560,669,74,2301,6736,1012,10051
SOSR631,740,145,926,15217,5907,649,21772,52330,7006,81103
SOSR679,0,0,0,4,0,0,9,53,9,73
SOSR699,3,0,3,89,38,5,128,530,180,835
SOSR703,467,93,572,19193,5166,688,25043,56734,13023,94796
SOSR712,130,26,156,3624,1137,229,4988,11110,2610,18708
SOSR714,17,13,38,862,273,30,1159,2575,1173,4911
SOSR715,5,4,14,2855,2143,814,5809,5376,1769,12956
SOSR721,17,8,27,1922,1516,419,3851,5102,1423,10379
SOSR722,31,4,38,1900,1505,472,3880,3798,1181,8855
SOSR731,74,13,88,4969,2255,547,7771,13431,5196,26395
SOSR779,0,0,0,3,0,0,4,43,26,72
SOSR799,0,0,0,151,57,0,211,1317,747,2281
SOSR802,4769,1275,6151,67047,23220,2685,92954,207023,21606,321581
SOSR822,4,0,4,48,26,0,68,134,12,217
SOSR831,0,0,3,147,25,4,177,358,73,610
SOSR879,0,0,0,0,0,0,0,0,0,0
SOSR899,3,0,3,39,33,7,73,322,108,506
SOSR915,3,0,3,237,34,11,278,769,237,1285
SOSR921,15,3,20,86,50,8,149,430,60,639
SOSR922,0,0,0,113,45,7,161,333,89,582
SOSR931,23,4,29,172,82,7,260,587,358,1207
SOSR979,0,0,0,0,0,0,0,6,0,6
SOSR999,0,0,0,3,0,0,6,35,4,46