SOSR_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,284624,173078,82025,38071,2202073
SOSR102,77317,53739,29081,13730,477775
SOSR111,8734,5509,2821,1084,57130
SOSR112,36392,26512,14456,6361,219189
SOSR113,22130,17859,10654,5062,127659
SOSR114,19053,15450,8799,3649,109178
SOSR115,30238,23678,12145,5047,164378
SOSR121,9231,6469,2718,815,44588
SOSR122,5440,3868,1529,435,25438
SOSR131,58874,38508,13290,3381,274729
SOSR179,43,60,25,3,212
SOSR199,1142,722,150,41,7741
SOSR201,265276,164993,82466,36526,2115997
SOSR203,10957,7245,4013,2033,75861
SOSR211,18384,12401,6131,2532,125257
SOSR212,11443,7386,3952,1741,75499
SOSR213,18741,13761,7283,3167,115887
SOSR214,10796,9379,5063,2222,63772
SOSR215,17703,14196,7240,3130,101164
SOSR221,5834,4600,1956,733,29127
SOSR222,3695,2547,956,374,17963
SOSR231,42184,27084,8692,2163,200936
SOSR279,10,0,0,0,25
SOSR299,526,263,61,19,4580
SOSR301,131760,79454,36288,16118,1011278
SOSR302,37949,27189,12935,5537,268703
SOSR303,48642,32663,15820,6433,318980
SOSR311,16382,11129,6339,2453,104211
SOSR312,3552,2191,1133,348,23937
SOSR313,10795,7905,4188,1769,70233
SOSR314,10188,6929,3409,1124,69235
SOSR315,17677,12663,5623,1878,108244
SOSR321,8242,5804,2173,529,43408
SOSR322,3798,2899,1099,227,19153
SOSR331,38769,24312,7967,1624,196263
SOSR379,15,15,6,3,71
SOSR399,1426,1050,215,24,7409
SOSR401,82005,55387,27403,12941,554855
SOSR412,4797,3184,1796,709,30941
SOSR413,7936,6397,3061,1212,46983
SOSR414,1813,1853,935,407,10621
SOSR415,7945,6039,3128,1560,46786
SOSR421,2705,1921,852,433,14248
SOSR422,1735,1301,495,161,8505
SOSR431,13626,8298,2427,555,63886
SOSR479,0,0,0,0,3
SOSR499,247,159,30,10,1595
SOSR501,127221,80253,40223,16749,940467
SOSR511,5041,3074,1421,544,32499
SOSR512,8023,5072,2658,1078,52250
SOSR513,3231,1250,449,158,26666
SOSR514,2266,1634,819,328,16096
SOSR515,5945,3860,1913,665,38326
SOSR521,3268,2124,967,335,18385
SOSR522,1521,1019,468,101,8647
SOSR531,14982,8722,2682,522,82357
SOSR579,31,4,3,0,338
SOSR599,633,368,58,13,3820
SOSR603,14002,9637,5088,2194,86205
SOSR611,5350,3824,1951,851,33887
SOSR612,1631,1279,728,317,9625
SOSR613,2240,1588,974,322,13095
SOSR614,736,572,377,112,4204
SOSR615,4522,3687,1876,662,25566
SOSR621,1790,1340,615,188,8770
SOSR622,1156,953,419,123,5445
SOSR631,10493,6481,2080,375,46603
SOSR679,5,7,0,0,44
SOSR699,78,50,10,0,517
SOSR703,7798,3582,1127,283,63473
SOSR712,1950,779,249,79,12281
SOSR714,442,213,81,25,3257
SOSR715,801,222,48,4,5841
SOSR721,653,225,43,8,5315
SOSR722,598,260,67,16,3710
SOSR731,2434,1175,258,33,15978
SOSR779,3,0,3,0,60
SOSR799,284,173,22,0,1635
SOSR802,30038,19478,8556,3554,218735
SOSR822,29,24,17,0,137
SOSR831,62,27,7,3,435
SOSR879,0,0,0,0,0
SOSR899,57,17,3,0,339
SOSR915,137,58,8,0,786
SOSR921,82,59,25,9,370
SOSR922,47,21,6,0,327
SOSR931,151,93,52,19,856
SOSR979,0,0,0,0,4
SOSR999,4,4,0,0,31